sentiment,review
positive,"þetta er ein af bestu will ferrell myndunum  algjör klassík, hægt að horfa á hana aftur og aftur. steve carell fer líka alveg á kostum sem vangefni veðurfræðingurinn."
positive,"...eða rogue assassin eins og þeir vilja kalla þetta á íslandi. fínasta action mynd  byssur, kungfu, ninjas og sprengingar. jason statham er alltaf badass. síðan bara sleppa því að taka eftir hvað það er kjánalegt þegar jet li talar ensku ;"
positive,ágæt fjölskylduvæn mynd. nokkuð fyndin... voða týpísk mynd með happy ending og allt það.
negative,"ágæt action mynd. flottir bílar, byssur, sprengingar og gellur  formúla sem virkar yfirleitt á mann. frekar mindless  týpísk mynd sem maður lendir á af því að það er verið að sýna hana á bíórásinni þegar maður er að channel surfa ; en þeir hafa greinilega hent alveg slatta af peningum í tölvugrafíkseffecta  sumar senur voru greinilega að miklu leyti tölvugerðar. sérstaklega í lokinn, þegar þetta var reyndar komið út í svolítið rugl..."
positive,maður bjóst nú alveg við súrri mynd... en það getur líka verið gaman að sjá þannig myndir : nokkuð fyndin. ekkert pure brilliance  en fínasta afþreying.
positive,þetta er náttúrulega klassísk mynd  mögnuð saga... en hún er í lengri kantinum ; yfir  tímar.
positive,spooky mynd. hún er byggð á japanskri bók  bíómynd og það er svolítið sérstök stemmning eins og er oft í þannig myndum. endirinn er frekar intense  upplagt ef maður fílar smá adrenalín kick ; litla stelpan ariel gade var að standa sig mjög vel. jennifer connelly er náttúrulega líka mjög góð eins og ávalt.
positive,"virkilega töff mynd  denzel er alveg hardcore gangsta. ridley scott alveg að standa sig. mjög góð action atriði. myndin leit mjög vel út  greinilega mikið lagt í að láta þetta líta út fyrir að gerast . eða eitthvað... allavega, mjög vel gerð mynd í alla staði. frasi myndarinnar: my man... ;"
positive,"virkilega góð mynd. gott dæmi um mynd með fullt af góðum leikurum sem gengur upp. eins og ég sagði þegar ég sá hana fyrst þá er þetta hörku handrit  hellingur af twist  turns, allir að svíkja alla  en samt ekki of flókið þannig að þetta var komið út í rugl. martin scorsese fékk loksins óskarinn, átti það sannarlega skilið."
positive,nokkuð góð mynd. skemmtileg pæling að mannkynið geti allt í einu ekki fjölgað sér... líka skemmtilegt að sjá eitthvað annað land en usa sem á að bjarga heiminum ; allar borgir í heiminum eru í rústi  only britain soldiers on. síðan var þetta meiri stríðsmynd en ég bjóst við  allavega kaflar sem mynntu svolítið á saving private ryan eða black hawk down.
negative,"ekkert meistaraverk... en ég meina, jessica alba ;"
positive,"fínasta action mynd. maður á náttúrulega að fara á svona myndir með það í huga að láta skemmta sér  ekkert að hafa of miklar áhyggjur af snilldar söguþræði eða stórleik. rússneskar gellur þurfa heldur ekkert að leika frábærlega ; nóg af sprengingum, byssubardögum, sverðbardögum... og allt vel að staðið í þeirri deild. síðan voru þeir ekkert að spara gerviblóðið  nettur splatter í gangi ; bara mjög töff mynd  líka ágætlega fyndin á köflum."
negative,"voða klassískt futurama dót  eiginlega bara eins og mjög, mjög langur þáttur. ekkert brillíant eða stanslaust fyndið, en alveg hægt að hafa gaman að þessu..."
positive,mjög dökk og drungaleg mynd  eiginlega svolítið spes. en nokkuð vel leikin.
positive,kúl mynd. hörku spenna. ekta sumarspennumynd  hefði örugglega verið gaman að sjá þessa í bíó.
negative,bull og vitleysa  en maður bjóst alveg við því : alveg hægt að hlæja að þessu. líka áhugaverðar pælingar  hvaða þjóðhópar eru að fjölga sér mest? það er ekkert endilega survival of the fittest sem gildir lengur...
positive,feel good mynd  will ferrell sem álfur  sprenghlægileg jólamynd. held ég bara ein besta jólamynd sem ég hef séð.
positive,simon pegg klikkar ekki. mjög fyndin mynd  snilldar karakterar. david schwimmer stendur sig bara nokkuð vel sem leikstjóri. að mörgu leyti klassísk hetjumynd svona from zero to hero.
positive,"hmm... ok, ég hef líklega séð hana áður  á bíórásinni eða eitthvað. eftir fyrstu mínúturnar fannst mér ég kannast við of mikið  það getur ekki verið að ég hafi séð svona mikið í trailernum... ; það er einn kostur við að vera með svona síðu þar sem maður skráir niður þær kvikmyndir sem maður horfir á  það eru minni líkur að ég horfi óvart á bíómynd sem ég hef séð áður ; en þessi mynd er mjög vel leikstýrð, vel gerð og vel leikin. en svolítið þung á köflum  dramatísk, hæg, ekki endilega mikið tal... myndin er líka mjög raunveruleg  ekkert of mikið af hollywood effects..."
positive,góð jólamynd : john mcclane er alltaf badass. minnir svolítið á jack bauer  útsjónarsamur og þolir nánast endalausan sársauka ;
positive,líka góð jólamynd ; af hverju þarf john mcclane alltaf að vera á vitlausum stað á vitlausum tíma? en það er fínt  þá er allavega einhver til að redda hlutunum...
positive,"die hard maraþonið heldur áfram : ekta action mynd með kómísku ívafi eins og allar die hard myndirnar. bruce willis og samuel l. jackson eru gott teymi. mér fannst reyndar í minningunni þessi mynd vera meiri action  en það er kannski af því að núna er maður vanur meiri hraða, fleiri byssum, stærri sprengingum, o.s.frv..."
positive,"klassískt bull og vitleysa a la jack black : frekar fyndið hvernig hann og flestir aðrir talaði ensku með spænskum hreim og spænskuslettum. kom út eins og eitthvað bulltungumál  svona hybrid enskspænska. en, s.s. funny stuff :"
negative,"ég trúi því varla að maður hafi horft á þetta til enda... en svona er þetta, maður er bara að tjilla með fjölskyldunni og þetta er það sem er verið að glápa á. ein væmnasta mynd sem ég hef séð. en það er svosem ekkert hræðilegt að glápa á cameron diaz ; síðan voru líka nokkur moment sem voru ágætlega fyndin."
positive,"flott mynd. mjög töff að sjá new york alveg tóma  svona palli var einn í heiminum dæmi... vel leikin, vel leikstýrð og áhugaverð saga  bara mjög góð í alla staði. fékk mann líka alveg til að bregða nokkrum sinnum ;"
positive,mjög spes mynd... en skemmtileg. ein af þessum költ myndum sem slær óvart í gegn. alveg magnað hvað aðal persónurnar eru vandræðalegar og lúðalegar... en það er bara fyndið :
positive,"ekta indie mynd. kostaði bara ,  en samt með nokkra alveg vel þekkta leikara  greinilegt að fólk hefur tekið þátt í þessu til að sýna listrænu hæfileika sína ; enda fékk mamman patricia clarkson óskarstilnefningu. svona létt drama  svarti sauðurinn fluttur í stórborgina og er að reyna redda sér en ætlar að bjóða allri fjölskyldunni í thanksgiving mat... alltaf gaman af new york myndum  nokkur skemmtileg ny skot í myndinni."
negative,"léttmeti... eða svona, frekar formúlukennt  bjóst alveg við því... ungt og sexy fólk að leika sér í útlöndum og hvað ætli gerist  jú, einhverjir vondir menn koma og vilja meiða þau  dadara : en þetta er frekar creepy plot  fær mann ekkert geðveikt til að langa fara til brasilíusuðurameríku ; gaman að sjá desmond askew úr go aftur. spoiler alert ok, kannski ekki neinn geðveikur spoiler, en ef þú vilt ekki vita neitt um myndina þá geturu bara hætt að lesa núna það sem var eiginlega svona hryllilegast við þessa hryllingsmynd var eltingaleikurinn í vatnshellinum eða hvað sem maður getur kallað þetta  frekar frumlegt, hef ekki séð svona áður. maður fékk alveg netta innilokunartilfinningu."
positive,"ekta óskarsmynd  vann reyndar ekki neitt þrátt fyrir  tilnefningar. en mjög vel gerð mynd. samt svona í hægari kantinum  ádeila á kommúnistaofsóknir, drama..."
positive,áhugaverð mynd  ég vissi í rauninni voða lítið um morðið á robert f. kennedy  gaman að fræðast meira um þetta. margar skemmtilegar sögur í gangi. fullt af frægum leikurum og það gengur alveg upp  fer ekki í rugl eins og gerist stundum  margir að standa sig mjög vel. síðan var líka skemmtilegt hvernig það voru notaðar gamlar fréttaklippur frá þessum tíma  náðu að blanda þessu eðlilega saman þannig það var eins og þetta hafi allt verið tekið upp á sama tíma.
positive,"jahá... mögnuð mynd. maður tekur þetta náttúrulega með smá salti en hann er nú ekki beint að ljúga  þetta er frekar fkd þarna í usa. þetta er greinilega ekki kerfi sem er að virka fyrir alla  vonandi fara þeir að breyta þessu fljótlega. það er náttúrulega fáránlegt að börn deyji af því að spítalinn sem er nálægastur er ekki samþykktur af tryggingunum. en já, áhugaverð mynd  fróðlegt að læra meira um þetta hmo kerfi."
positive,"mjög töff mynd. skemmtilegur myndastíll  ef þú fílar ekki þegar myndavélin er á hreyfingu þá er þetta alls ekki mynd fyrir þig  myndin er s.s. öll frá sjónarhorni fólksins sem heldur á myndavélinni. mjög góð actionskrímsla mynd  góð keyrsla, maður lifði sig alveg inn í þetta nánast eins og maður væri gaurinn sem hélt á myndavélinni. það hjálpaði líka að gera myndina raunverulegri að aðalleikararnir eru ekki mjög þekktir.  uppfært: ég var reyndar að fatta að þótt þessi myndastíll sé skemmtileg tilbreyting þá er þetta ekki alveg ný uppfinning hjá þeim  blair witch project notaði náttúrulega sömu tækni. nú hafa báðar þessar myndir verið kallaðar ódýrar í framleiðslu  það er kannski bara gott trick til að halda niður kostnaði  láta leikarana bara halda á myndavélinni ;"
positive,wes anderson býr alltaf til myndir með mjög sérstökum persónum... og hann er mikið fyrir súrrealísk atriði og samtöl  sem gerir myndina sprenghlægileg á köflum. vel leikstýrð og umgjörðin costume  set design var líka mjög flott. svolítið sérstakt að fara á mynd með ekkert hlé  en skemmtileg tilbreyting. síðan var stuttmyndin hotel chevalier sýnd á undan  hún er reyndar með sér imdb færslu þannig að ég gæti í rauninni verið með sér færslu hérna um hana en ég held ég hafi bara fulllength myndir hérna. það var alla vega sama stemmning í henni  quirky og fyndin.
positive,"já, listaverk verða yfirleitt vinsælli eftir að listamaðurinn er dáinn... crewið hérna var að horfa á þessa mynd þannig að maður tékkaði á þessu. fín mynd  vel gerð og allt það, en svolítið slow á köflum."
positive,"svona til að hita upp fyrir rambo  ákvað ég að tékka á fyrstu myndinni  ég held að ég hafi ekki séð hana áður... töff mynd  john rambo er badass, lítið annað sem þarf að segja."
positive,"tim burton og johnny depp  getur ekki klikkað... ég hef nú ekki séð margar söngvamyndir  en þetta var alveg að virka, var ekkert kjánalegtskrítið þótt það var verið að syngja mest allan tíman. mjög flott mynd  tim burton er mjög visual... sacha baron cohen var alveg að gera góða hluti  langfyndnasti karakterinn."
positive,svolítið skrítinsúr scifi mynd... en nokkuð spennandi  líka smá áhugaverðar pælingar. brad pitt er langbestur þegar hann er að leika sækó persónur eins og t.d. tyler durden.
positive,"öss! þetta var rosalegt... alveg mögnuð mynd.  rds af blóði, byssum og sprengingum.  skemmtun. svona á sko að gera action myndir  vopn með alvöru krafti og líkamspartar fljúgandi út um allt. geðveikur actionroller coaster í lokinn  maður var alveg gapandi hvað þetta var mikil snilld. john rambo still got it :"
positive,jahá... erfitt að segja  margt einkennilegt við þessa mynd... sérstakar persónur eins og í öllum coen myndum og mörg skrítin samtöl. en javier bardem kom sterkt inn sem sækó morðinginn  alveg stone cold killer. það var eins og það vantaði eitt eða annað  kannski fattar maður það betur ef maður les bókina sem þetta er byggt á eða horfir á myndina aftur jafnvel með dvd commentary. en vissulega vel gerð mynd  ekta verðlaunamynd.
positive,"quirky og fyndin mynd. eiginlega bara mjög fyndin  fullt af fyndnum atriðumsamtölum, nokkuð gott handrit. michael cera stendur sig alltaf vel sem vandræðalegi gaurinn og ellen page er bara nokkuð góð leikkona  verður áhugavert að fylgjast með henni í framtíðinni. myndin minnti mig svolítið á garden state  svona róleg og raunveruleg mynd með raunverulegum persónum  enginn hollywood glansi yfir þessu. soundtrackið var líka nokkuð gott. fínasti indiekrútt pakki."
positive,"microsoft bauð manni á forsýningu á þessa fínu action mynd. svolítið sérstök þar sem það var alltaf verið að spóla til baka  maður sá s.s. sama atvikið frá mörgum mismunandi sjónarhornum. skemmtileg og vel gerð eltingaratriði... en þetta er svona mynd þar sem er alveg óþarfi að vera hugsa alltof mikið  ekkert að vera að spurja þig en afhverju...?, og hvað svo? o.s.frv."
positive,skrítin og dramatísk mynd  tónlistin var líka frekar skrítin og mjög dramatísk. en vissulega vel leikstýrðgott cinematography og vel leikin samt aðeins of mikið af svona ég er ógeðslega reiður.... ekkert mjög heillandi saga  skilur ekkert rosalega mikið eftir sig...
positive,"týpísk action mynd með dúndrandi rokk tónlist í takt við byssubardaga og hellingur af oneliners. síðan er þetta svolítið í stíl við james bond pierce brosnan era í þeim skilningi að aðal gaurinn getur gert hinu ótrúlegustu hluti öll venjuleg lögmál eru alveg afskrifuð. á köflum var þetta hin argasta grínmynd  sérstaklega ein senan í lokinn, alveg óborganlegt : en fín action mynd ef maður fílar byssubardaga og ofbeldi í takt við dúndrandi tónlist."
positive,"fínasta grínmynd með helling af fyndnum mómentum. ekkert brillíant voða týpískt handrit fyrir gamanmynd, en fínasta afþreying. týpískt fyrir billy bob thornton að leika svona hardass  hann er nokkuð góður í því..."
positive,"öss! þetta var mjög scary mynd... mikið suspense í gangi  maður beið oft í ofvæni eftir að eitthvað gerðist  og manni brá alveg nokkrum sinnum. engir cheap hollywood effects bara hrá hryllingsmyndthriller. minnti mig að vissu leyti á the others  og líka stir of echoes. græna ljósið er að sýna þessa mynd þannig að það var ekkert hlé  sem var bara gott, ég held að hlé hefði eyðilegt svolítið spennuna sem var búið að byggja upp. myndin heitir s.s. the orphanage á ensku."
positive,"þegar maður fer á mynd um gaur sem pantar sér real doll og lætur eins og hún sé lifandi þá veit maður að maður er að fara á svolítið skrítnaspes mynd. en hún er mjög fyndin og vel leikin. hún er svolítið lík juno í þeim skilningi að hún er líka svona róleg og raunveruleg. síðan er mikil sveitastemmning í gangi  kannski ekki ósvipað og í fargo, allir í bænum vinir og allir tilbúnir til að hjálpast að."
positive,mjög góð svört komedía. snilldar karakterar. colin farrell góður sem nettruglaður íri þótt hann sé nokkurn veginn að leika sjálfan sig. ágætlega brútal á köflum. enn önnur myndin sem maður sér sem græna ljósið er að flytja inn  þeir eru alveg nokkuð góðir í að finna góðar kvikmyndir. síðan er maður alveg að venjast því að hafa ekkert hlé  maður þarf bara að muna að pissa áður en maður fer í bíóið ;
positive,töff íslensk mynd  mjög fyndin. pétur jóhann stendur sig náttúrulega vel eins og alltaf  allt sem hann gerir er fyndið... mjög skemmtilegir karakterar  endalaust af þekktum leikurum og öðrum íslenskum celebs í hinum ýmsu hlutverkum. skemmtilegt hvað allir þessir íslensku krimmar þóttust vera harðir en voru í rauninni aumingjar.
positive,"nett drama í gangi  en nokkuð fyndin annað er nú ekki hægt með steve carell í aðalhlutverki. fín mynd til að horfa á með fjölskyldunni. minnti mig svolítið á juno og the last kiss  svona myndir um lífið... og hvað það er í rauninni messed up ...or whatever, ég er bara að bulla eitthvað..."
positive,klassísk hryllingsmynd. mjög psycho stemmning. virkilega vel leikstýrð. jack nicholson að gera góða hluti  hann stendur sig alltaf vel í svona sækó hlutverkum. tónlistin var alveg bókstaflega geðveik og gerði alveg helling fyrir stemmninguna...
positive,"mjög fyndin mynd. klassísk judd apatow mynd með slatta af leikurunum sem maður hefur séð áður í myndunum hans... kannski ekkert fáránlega frumleg, en þú þarft ekkert endilega að vera frumlegur til að vera fyndinn ; alveg hellingur af sprenghlægilegum atriðum."
positive,"kúl og brútal löggu action mynd. miðað við þessa mynd, training day, harsh times og sjónvarpsþættina the shield þá mætti halda að meirihlutinn af löggum í los angeles hiki ekki við að beygja reglurnar þegar það hentar þeim... kannski ekkert fáránlega frumleg  en góð skemmtun og fullt af góðum leikurum..."
positive,náttúrulega klassísk mynd  fyrsta indiana jones myndin  mjög langt síðan ég sá hana síðast. hún var töluvert fyndnari en ég mundi eftir henni... mætti jafnvel flokka hana sem silly action mynd. atriðið þar sem hann skýtur sveðju gaurinn á torginu er náttúrulega priceless : síðan voru tæknibrellurnar vissulega framúrskarandi  svona miðað við mynd frá . fín upphitun fyrir indiana jones  indiana jones and the kingdom of the crystal skull.
positive,"svona á að gera ofurhetjumynd! iron man og batman begins eru bestu ofurhetjumyndir sem ég hef séð nýlega... gæða mynd í alla staði  kúl action atriði, vel leikstýrð, mjög flott visual séð, gott handrit, vel leikin og svona ekkert alltof ótrúleg miðað við ofurhetjumynd. robert downey jr. er algjör snillingur  fáránlega pimp í byrjun... og síðan svona kúlgoofy eins og hann er oft. gwyneth paltrow var líka að standa sig vel í sínum karakter. ég var að fíla iron man í tætlur  væri alveg til í að sjá nokkrar myndir í viðbót úr þessu franchise..."
positive,"þetta var snilld. mjög fyndin mynd  náttúrulega aðallega bull, vitleysa og stoner húmor... mörg sprenghlægileg atriði. síðan var svona inn á milli smá ádeila á bandaríkin, hvernig þeir fara með grunaða, fordóma, o.s.frv... góð keyrsla í þessu  varla dauður punktur. ó, já, síðan var the square root of three ljóðið alveg magnað :"
positive,"brillíant mynd! maður hefur verið að horfa á sketsa á netinu frá the lonely island gaurunum undanfarin ár þannig að ég bjóst nú við nokkuð fyndinni mynd  en þetta sló allt út, margfalt fyndnari en ég bjóst við. ég man ekki eftir því að bókstaflega grenja af hlátri svona oft yfir einni mynd  maður var stundum alveg í krampakasti : alveg magnað hvað svona random vitleysa svipað og í family guy getur verið fyndin  fáránlega súr sum atriðin, en samt ótrúlega fyndin. ein besta grínmynd sem ég hef séð nýlega."
positive,fínasta ævintýramynd. svolítið ótrúleg á köflum en það er náttúrulega bara partur af öllum góðum ævintýramyndum : söguþráðurinn kom mér svolítið á óvart... eitthvað sem ég bjóst ekki alveg við í indiana jones mynd  en áhugavert plot samt sem áður. harrison ford stóð sig bara ágætlega  ekkert áberandi að hann er  ára í alls konar fimleikum. en tæknibrellurnar  vá! sum atriðin voru alveg mögnuð og maður gat alls ekki séð að þetta væri teiknað í tölvu  þeir kunna þetta hjá industrial light  magic.
positive,"þessi mynd er alveg virkilega súr  bull alveg í gegn. en nokkuð fyndin  fullt af góðum bröndurum og fyndnum atriðum. síðan voru mörg atriði sem meikuðu engan sens  random rugl en gekk ekki alveg eins vel og í hot rod að vera fyndið. já, s.s. mjög steikt mynd  fyndin, en ekki besta adam sandler mynd sem ég hef séð."
positive,"kúl mynd, fínasta action mynd  að vissu leyti týpísk action mynd; vondi kall, góði kall, eltingaleikur, byssur, sprengingar, o.s.frv... síðan kom endirinn svolítið á óvart  greinilega verið að gefa til kynna að það verði einhvers konar framhald... og það gæti orðið mjög áhugavert framhald ;"
positive,"að vissu leyti formúlukennd action mynd  en hver fílar ekki byssur, ofbeldi, bílaeltingaleiki, sprengingar og síðast en ekki síst angelina jolie? þetta var alla vega alveg að virka fyrir mig  kúl stöff. síðan er hún líka mjög fyndin á köflum  þá aðallega hversu óraunveruleg hún getur verið ; kúl special effects  t.d. nokkur töff bíla trikk sem maður hefur ekki séð áður : eins og með margar action myndir sem keyra áfram með byssubardögum og dúndrandi rokktónlist þá er alveg óþarfa að spá of mikið í söguþræðinum."
positive,"mjög fyndin teiknimynd  jack black klikkar ekki... pöndu karakterinn var alveg sniðinn að honum. myndin leit líka mjög vel út  mörg kúl action atriði... töff closeup, freezeframe cameraturn effectaar eða hvað sem maður á að kalla svona matrix stíl og bara vönduð mynd. kemur alltaf skemmtilega á óvart hvað maður hefur í rauninni gaman af bíómyndum sem eru bara teiknimyndir."
positive,kúl action mynd  nóg af töff sprengingum og byssubardögum. opnunartitilsenan e. opening credit sequence var virkilega flott  kúl typography effectar í gangi minnti mig örlítið á pulp caption videoið. líka áhugavert að fræðast aðeins um tengslin milli bandaríkjanna og sádíarabíu.
positive,"virkilega flott og fyndin action mynd. johann krauss sem seth macfarlane talaði fyrir var eiginlega besti karakterinn  alla vega fyndnasti. leikur og söguþráður voru kannski ekki í hæsta klassa en það skemmdi ekki fyrir. guillermo del toro kann að gera flottar myndir og hann er mikið fyrir skringilegar verur  kemur alltaf vel út hjá honum. tæknibrellurnar voru virkilega vel gerðar  mjög raunverulegar, maður er eiginlega ekki alveg viss hvað er tölvuteiknað og hvað er búningar og sviðshönnun."
positive,"fínasta sumar action mynd  með fullt af tæknibrellum, sprengingum og öllu því sem við má búast í will smith kvikmynd. smá plottwist sem kom manni á óvart... reyndar eitt og annað sem kom manni einkennilega fyrir sjónir, en það er óþarfi að vera velta því of mikið fyrir sér yfir svona léttmeti ; gaman að sjá jason bateman í fleiri og fleiri stórum kvikmyndum  síðan er víst verið að lofa manni arrested development mynd, get ekki beðið.  já, eitt í viðbót: í hancock var alveg nokkrum sinnum nefnt youtube, vefsíðan sýnd og síðan video frá youtube sýnd í fullscreen með alveg huge youtube lógó í horninu. þeir töluðu líka nokkrum sinnum um youtube í hellboy ... google eru greinilega svolítið fyrir product placement í bíómyndum  t.d. í myndinni crank var notað google earth til að sýna svona satellite skot og google earth lógóið var svona sæmilega áberandi."
positive,"nokkuð kúl frönsk action mynd  alveg nokkur atriði byggð á parkour sem er frekar magnað fyrirbæri... þeir fengu meira að segja david belle, sem fann upp á parkour, til að leika eitt aðalhlutverkið."
positive,"mögnuð mynd  virkilega flott, geðveik myndataka og action atriðin voru náttúrulega rosaleg. allt mjög vandað  mjög flott áferð á myndinni. svipað og í batman begins þá voru kvöldnætur atriðin mjög drungaleg  skapaði svolítið sérstaka stemmningu... myndin var líka skuggalega fyndin inn á milli  þá aðallega þegar jokerinn átti í hlut, enda viðeigandi. heath ledger stóð sig mjög vel  náði að gera jokerinn bókstaflega einn geðveikasta karakter sem maður hefur séð á hvíta tjaldinu, kæmi alls ekkert á óvart að hann myndi fá óskarinn. maður hefði alveg verið til í að sjá hann áfram í fleiri batman myndum... verður spennandi að sjá hvort þeir haldi áfram og búi til þriðju myndina í þessari endurlífguðu batman seríu  og miðað við að the dark knight er að slá hvert metið á fætur öðru þá eru frekar miklar líkur á því. frekar löng mynd, en virtist samt ekki vera það  endalaus bardagi fram og til baka á milli góðs og ills. gaman að sjá william fichtner þarna í smá hlutverki..."
positive,"...eða night watch eins og það er víst búið að þýða hana yfir á engilsaxneskuna. nokkuð kúl mynd en frekar skrítin... stundum var ekki alveg consistency og eini tilgangurinn með sumum atriðum virtist vera bara til að geta gert eitthvað kúl eða svona hluti af þeim. dúndrandi rokk tónlist, freezeframe, slow motion og öll helstu actionmynda trikkin  en nokkuð flott. fullt af funky special effects. sumir karakterarnir frekar skrítnir og síðan var söguþráðurinn líka skrítinnruglingslegur á köflum."
positive,"virkilega góð mynd  pixar kann svo sannarlega að búa til tölvuteiknimyndir sem höfða til ungra sem aldna. reyndar voru hlutar af myndinni svo raunverulegir að manni fannst maður eiginlega ekki vera horfa á teiknimynd  hún var virkilega flott í alla staði. sagan var mjög góð og nokkuð fyndin. síðan var þetta smá ádeilumynd þar sem það var svolítið verið að gagnrýna efnishyggju, leti, o.s.frv. walle er klárlega ein besta tölvuteiknimynd sem ég hef séð. skemmtilegt að sjá á imdb síðunni að þeir notuðu texttospeech forrit sem fylgir með apple tölvum til að tala fyrir einn karakterinn."
positive,"eins og fyrri myndin night watch þá er day watch svona frekar skrítin  það er kannski bara rússnesk menning sem maður er ekki alveg að tengja við... en hún er mjög flott, greinilega settur töluverður peningur í þessa  tæknibrellur og sviðshönnun mjög flott ..og það var alveg nóg af tæknibrellum. tónlistin var stundum svolítið óviðeigandi, skar sig svolítið úr  mér finnst að kvikmyndatónlist eigi að passa mjög vel við atriðið, stemmninguna og það sem er að gerast. en þetta er ágæt ævintýramynd  urban fantasy eins og handritshöfundurinn kallar þetta."
positive,mjög fyndin mynd. steve carell klikkar ekki... fullt af fínum leikurum. kúl action atriði. góð skemmtun.
positive,"fáránleg og fyndin mynd. fáránlega fyndin mynd  ekta ben stiller og jack black húmor. síðan er robert downey jr. að slá í gegn eins og svo oft áður. trailerarnir á undan myndinni eru líka brillíant. actionpacked grínmynd af bestu gerð  nóg af sprengingum og látum. persónan sem tom cruise leikur er algjör snilld, þótt hann sé persónulega nett klikkaður þá kann hann að svo sannarlega að leika. alveg skuggalega mikið af öðrum þekktum leikurum í þessari mynd hér og þar..."
positive,"kúl mynd. ekta macho actionmynd með hraðskreiðum bílum, gellum, byssum og sprengingum. formúla sem virkar algjörlega..."
positive,"vá, súr mynd... : þetta er alveg svakaleg stoner mynd  en alveg rugl fyndin. snilldar karakterar. fullt af atriðum þar sem maður sprakk úr hlátri. gott stöff. síðan var alveg hellingur af action líka  byssur, sprengingar, bílaeltingaleikur og læti."
