,id,sentiment,review
29,30,6,spooky mynd byggð japanskur bók bíómynd svolítið sérstakur stemmning oft þannig mynd endir frekar intense upplagður maður fíll smá adrenalín kick lítill stelpa ariel gade vera standa mjög vel jennifer connelly náttúrulega líka mjög góður ávalur
30,31,8,virkilega töff mynd denzel alveg hardcore gangstur ridley scott alveg standa sig mjög góður action atriði mynd líta mjög vel greinilega mikill leggja láta líta gera einhver allavega mjög vel gerður mynd staður frasi mynd my muna
31,32,9,virkilega góður mynd góður dæma mynd fullur góður leikari ganga upp segja harka handrit hellingur twist turn svíkja ekki flókinn_NEG þannig_NEG vera_NEG koma_NEG rugl_NEG mart scorsese fá loksins óskari eiga sannarlega skilja
32,33,7,góður mynd skemmtilegur pæling mannkyn geta ekki fjölga_NEG sig_NEG líka skemmtilegur sjá land us bjarga heimur borg heimur vera rústi only brita soldiers on vera mikill stríðsmynd búa allavega kafli mynna svolítið savingur private rya black hawk down
33,34,5,meistaraverk meina jessica albi
34,35,7,fínn action mynd maður náttúrulega fara svona mynd huga láta skemmta hafa mikill áhyggja snilld söguþráður stórleikur rússneskur gjalla þurfa leika frábærlega nóg sprenging byssubardagi sverðbardagi vel standa deild spara gerviblóð nettur splatter ganga bara mjög töff mynd líka ágætlega fyndinn kafli
35,36,5,voði klassískur futurami dót eiginlega bara mjög mjög langur þáttur brillíandur stanslaust fyndinn alveg hægur hafa gaman þessi
36,37,6,mjög dökkur drungalegur mynd eiginlega svolítið spes vel leikinn
37,38,7,kúl mynd harka spenna ekt sumarspennumynd hafa örugglega vera gaman sjá bíó
38,39,5,bull vitleysa maður búa alveg alveg hægur hlæja þessi líkur áhugaverður pæling þjóðhópur vera fjölga mikið endilega survival the fittestur gilda lengi
39,40,8,feel goodur mynd will ferrell álfur sprenghlægilegur jólamynd halda bara góður jólamynd hafa sjá
40,41,7,simon pegg klikka ekki mjög fyndinn mynd snilld karakter david schwimmer standa bara vel leikstjóri margur leyti klassískur hetjumynd svona fromur zero to hero
41,42,6,hmm ok hafa líklega sjá áður bíórás einhver fyrstur mínúta finna kanna mikill geta ekki vera_NEG hafa_NEG sjá_NEG svona_NEG mikið_NEG trailerni_NEG kostur vera svona síður maður skrá kvikmynd maður horfa vera líkur horfa óvart bíómynd hafa sjá áður mynd mjög vel leikstýrður vel gerð vel leikinn svolítið þungur kafli dramatískur hægur ekki endilega_NEG mikill_NEG tal_NEG mynd líka mjög raunverulegur mikið hollywood effects
42,43,7,góður jólamynd john mcclane alltaf badass minna svolítið jack bauer útsjónarsamur þola náið endalaus sársauki
43,44,6,líkur góður jólamynd þurfa john mcclane alltaf vera vitlaus staður vitlaus tími fínn allavega redda hlutur
44,45,6,die hard maraþon áfram ekt action mynd kómískur ívaf die hard mynd bruce willis samuel l jackson vera góður teyma finna reyndar minning mynd vera mikill action kannski núna maður vanur mikill hraði margur byssa stór sprenging o.s.frv
45,46,6,klassískur bull vitleysa a la jack black frekar fyndinn hvernig margur tala enska spænskur hreimur spænskusletta koma bulltungumál svona hybrid enskspænskur en s.s. funnyja stuff
46,47,4,trúa varla maður hafa horfa enda svona þessi maður bara tjilla fjölskylda vera glápa á væminn mynd hafa sjá svosem hræðilegur glápa cameron diaz líka moment ágætlega fyndinn
47,48,8,flottur mynd mjög töff sjá new york alveg tómur svona pallur vera heimur dæma vel leikinn vel leikstýrð áhugaverður saga bara mjög góður staður fá maður líka alveg bregða sinn
48,49,6,mjög spes mynd skemmtilegur kölur mynd slá óvart gegn alveg magnaður aðal persóna vera vandræðalegur lúðalegur bara fyndinn
49,50,6,ekt indie mynd kosta bara alveg vel þekktur leikari greinilegur fólk hafa taka þáttur sýna listrænn hæfileiki fá mamma patricia clarkson óskarstilnefning svona létt drami svartur sauður flytja stórborg reyna redda ætla bjóðaa fjölskylda thanksgivinga matur alltaf gaman new yorkur mynd skemmtilegur ny skot mynd
50,51,5,léttmeti svona frekar formúlukenndur búa alveg það ungur sexyja fólk leika útland ætla gera jú vondur maður koma vilji meiða dadari frekar creepy plot fá maður geðveikur langa fara brasilíusuðurameríka gaman sjá desmond askew go aftur spoiler aler ok kannski ekki geðveikur_NEG spoiler_NEG vilja ekki vita_NEG mynd_NEG getura_NEG bara_NEG hætta_NEG lesa_NEG núna_NEG vera_NEG eiginlega_NEG svona_NEG hryllilegur_NEG hryllingsmynd_NEG vera_NEG eltingaleikur_NEG vatnshellir_NEG maður_NEG geta_NEG kalla_NEG frekar_NEG frumlegur_NEG hafa ekki sjá_NEG svona_NEG áður_NEG maður fá alveg nettur innilokunartilfinning
51,52,6,ekt óskarsmynd vinna reyndar ekki þrátt_NEG tilnefning_NEG mjög vel gerður mynd svona hægur kantur ádeila kommúnistaofsóknir drami
52,53,7,áhugaverður mynd vita raun voði lítill morð robera f. kennedy gaman fræða mikill þessi margur skemmtilegur saga ganga fullur frægur leikari ganga alveg fara ekki rugl_NEG gera_NEG stundum_NEG margur_NEG standa_NEG mjög_NEG vel_NEG vera líka skemmtilegur hvernig nota gamall fréttaklippur tími ná blanda eðlilega þannig vera hafa vera taka tími
53,54,6,jahá magnaður mynd maður taka náttúrulega smár salt ekki beint_NEG ljúga_NEG frekar_NEG fkda_NEG þarna_NEG us_NEG greinilega ekki kerfi_NEG virka_NEG vonandi_NEG fara_NEG breyta_NEG fljótlega_NEG náttúrulega fáránlegur barn deyja spítali nálægur ekki samþykkja_NEG trygging_NEG já áhugaverður mynd fróðlegur læra mikill hmo kerfi
54,55,8,mjög töff mynd skemmtilegur myndastíll fíll ekki myndavél_NEG hreyfing_NEG ekki mynd_NEG mynd_NEG s.s._NEG sjónarhorn_NEG fólk_NEG myndavél_NEG mjög góður actionskrímsla mynd góður keyrsla maður lifa alveg náið maður vera gaur halda myndavél hjálpa líka gera mynd raunverulegur aðalleikari vera ekki mjög_NEG þekktur_NEG uppfærður vera reyndar fatta myndastíll vera skemmtilegur tilbreyting ekki alveg_NEG nýr_NEG uppfinning_NEG blaa_NEG witch_NEG project_NEG nota_NEG náttúrulega_NEG tækni_NEG hafa mynd vera kalla ódýr framleiðsla kannski bara góður trick halda kostnaður láta leikari bara halda myndavél
55,56,8,wes anderson búa alltaf mynd mjög sérstakur persóna mikill súrrealískur atriði samtal gera mynd sprenghlægilegur kafli vel leikstýrður umgjörð costume setja design vera líka mjög flottur svolítið sérstakur för mynd hlé skemmtilegur tilbreyting vera stuttmynd hotel chevalier sýna reyndar imdbur færsla þannig geta raun vera færsla hérna halda hafa bara fulllength munu hérna vera vega stemmning quirky fyndinn
56,57,6,já listaverk verða yfirleitt vinsællur listamaður dáinn crewið hérna vera horfa mynd þannig maður tékka þessi fínn mynd vel gerð það svolítið slow kafli
57,58,7,svona hiti rambo ákveða tékka fyrstur mynd halda hafa ekki sjá_NEG áður_NEG töff mynd johnva rambo badass lítið þurfa segja
58,59,7,tim burton johnny depp geta ekki klikka_NEG hafa ekki sjá_NEG margur_NEG söngvamynd_NEG vera_NEG alveg_NEG virka_NEG vera kjánalegtskrítinn vera vera syngja mikill tíman mjög flottur mynd timur burton mjög visualja sacha baron cohen vera alveg gera góður hlutur langfyndinn karakter
59,60,6,svolítið skrítinsúr scifi mynd spennandi líkur smá áhugaverður pæling brad piða langbestur leika sækó persóna t.d. tyler durden
60,61,9,ass vera rosalegur alveg magnaður mynd rd blóð byssa sprenging skemmtun svona sko gera action munu vopn alvara kraftur líkamspartur fljúga allur geðveikur actionroller coaster lokinn maður vera alveg gapa vera mikill snilld joh rambo stillur got itva
61,62,7,jahá erfiður segja margur einkennilegur mynd sérstakur persóna coen mynd margur skrítinn samtal javier bardem koma sterkt sækó morðingi alveg stone cold killer vera vanta kannski fatta maður vel maður lesa bók byggja horfa mynd aftur jafnvel dvd commentary vissulega vel gerður mynd ekt verðlaunamynd
62,63,8,quirky fyndinn mynd eiginlega bara mjög fyndinn fullur fyndinn atriðumsamtal góður handrit michael cera standa alltaf vel vandræðalegur gaur ellenva page bara góður leikkona verða áhugaverður fylgja framtíð mynd minna svolítið gardenva state svona rólegur raunverulegur mynd raunverulegur persóna hollywood glans þessi soundtrackið vera líka góður fínn indiekrútt pakkja
63,64,7,microsoft bjóða maður forsýning fínn action mynd svolítið sérstakur vera alltaf vera spóla bak maður s.s. atvik margur mismunandi sjónarhorn skemmtilegur vel gerður eltingaratriði svona mynd alveg óþarfi vera hugsa alltof mikið vera spurja afhverju svo o.s.frv.
64,65,6,skrítinn dramatískur mynd tónlist vera líka frekar skrítinn mjög dramatískur vissulega vel leikstýrðgott cinematography vel leikinn aðeins mikill svona ógeðslegur reiður mjög heillandi saga skilja rosalega mikill sig
65,66,6,týpískur action mynd dúndrandi rokkur tónlist taktur byssubardagi hellingur oneliner svolítið stíll jame bond pierce brosna era skilningur aðal gaur geta gera ótrúlegur hlutur venjulegur lögmál vera alveg afskrifa kafli vera argur grínmynd sérstaklega sena lokinn alveg óborganlegur fínn action mynd maður fíll byssubardagi ofbeldi taktur dúndrandi tónlist
66,67,6,fínn grínmynd hellingur fyndinn mómenta brillíandur voði týpískur handrit gamanmynd fínn afþreying týpískur billyja bob thornton leika svona hardass góður það
67,68,8,ass vera mjög scary mynd mikill suspense ganga maður bíða oft ofvæni gera maður bregða alveg sinn cheap hollywood effects bara hrár hryllingsmyndthriller minna vissa leyti the other líka sta echoes grænn ljós sýna mynd þannig vera hlé vera bara góður halda hlé hafa eyðilegur svolítið spenna vera búinn byggja upp mynd heita s.s. the orphanage enskur
68,69,7,maður fara mynd gaja panta real dollur láta sjá lifandi vita maður maður fara svolítið skrítnaspes mynd mjög fyndinn vel leikinn svolítill lík juno skilningur líka svona rólegur raunverulegur mikill sveitastemmning ganga kannski ekki ósvipaður_NEG fargo_NEG bær vinur tilbúinn hjálpa að
69,70,7,mjög góður svartur komedía snilld karakter colin farrell góður nettruglaður íri vera vega leika sig ágætlega brútall kafli enn mynd maður grænn ljós flytja vera alveg góður finna góður kvikmynd maður alveg venja hafa hlé maður þurfa bara muna pissa áður maður fara bíó
70,71,7,töff íslenskur mynd mjög fyndinn pétja jóha standa náttúrulega vel alltaf gera fyndinn mjög skemmtilegur karakter endalaust þekktur leikari íslenskur celebs hlutverk skemmtilegur íslenskur krimmi þykja vera harður raun aumingi
71,72,6,nett drami gangur fyndinn ekki hægur_NEG steve_NEG carell_NEG aðalhlutverk_NEG fínn mynd horfa fjölskylda minna svolítið juno the letja kiss svona munu líf raun messeda upva or whatever bara bulla einhver
72,73,7,klassískur hryllingsmynd mjög psycho stemmning virkilega vel leikstýrður jack nicholson gera góður hluti standa alltaf vel svona sækó hlutverk tónlist vera alveg bókstaflega geðveikur gerði alveg hellingur stemmning
73,74,7,mjög fyndinn mynd klassískur juddur apatow mynd slatti leikari maður hafa sjá áður myndun hann kannski fáránlega frumlegur þurfa endilega vera frumlegur vera fyndinn alveg hellingur sprenghlægilegur atriði
74,75,7,kúla brútal lögga action mynd miða mynd training dayja harsh time sjónvarpsþáttur the shieldur mega halda meirihluti lögga los angele hika ekki beygja_NEG regla_NEG henta_NEG það_NEG kannski fáránlega frumlegur góður skemmtun fullur góður leikari
75,76,8,náttúrulega klassískur mynd fyrstur indian jonesva mynd mjög langt síðar vera töluvert fyndinn munu hún mega jafnvel flokka silly action mynd atriði skjóta sveðja gaur torg náttúrulega priceless tæknibrella vissulega framúrskarandi svona miða mynd fínn upphitun indiana jones indiana jones and the kingdom the crystal skull
76,77,8,svona gera ofurhetjumynd iron muna batman begins vera góður ofurhetjumynd hafa sjá nýlega gæða mynd staður kúla action atriði vel leikstýrður mjög flottur visual sjá góður handrit vel leikinn svona alltof ótrúlegur miða ofurhetjumynd rober downey jr. algjör snillingur fáránlega pimpva byrjun svona kúlgoofy oft gwyneth paltrow vera líka standa vel karakter vera fíll iron muna tætla vera alveg sjá munu viðbót franchise
77,78,8,vera snilld mjög fyndinn mynd náttúrulega aðallega bull vitleysa stonera húmor margur sprenghlægilegur atriði vera svona smár ádeila bandaríki hvernig fara grunaður fordómur o.s.frv góður keyrsla varla dauður punktur ó já vera the square root three ljóð alveg magnaður
78,79,10,brillíant mynd maður hafa vera horfa sketsa net the lonelyja island gaur undanfarinn ár þannig búa fyndinn mynd slá út margfalt fyndnar búa við man ekki bókstaflega_NEG grenja_NEG hlátur_NEG svona_NEG oft_NEG mynd_NEG maður_NEG vera_NEG stundum_NEG alveg_NEG krampakast_NEG alveg magnaður svona randomur vitleysa svipaður familyja guy geta vera fyndinn fáránlega súr atriði ótrúlega fyndinn góður grínmynd hafa sjá nýlega
79,80,7,fínn ævintýramynd svolítið ótrúlegur kafli náttúrulega bara partur góður ævintýramynd söguþráður koma svolítið óvart búa ekki alveg_NEG indiana_NEG jonesva_NEG mynd_NEG áhugaverður_NEG plot_NEG áður_NEG harrison forda standa bara ágætlega áberandi ári konar fimleikur tæknibrella vá atriði alveg magnaður maður geta ekki séður_NEG vera_NEG teikna_NEG tölva_NEG kunna_NEG industrial_NEG light_NEG magic_NEG
80,81,6,mynd alveg virkilega súr bull alveg gegn fyndinn fullur góður brandari fyndinn atriði margur atriði meika sens random rugl ganga ekki alveg_NEG vel_NEG hot_NEG rodur_NEG vera_NEG fyndinn_NEG já s.s. mjög steiktur mynd fyndinn ekki góður_NEG adam_NEG sandlera_NEG mynd_NEG hafa_NEG sjá_NEG
81,82,7,kúl mynd fínn action mynd vita leyti týpískur action mynd vondur kall góður kall eltingaleikur byssa sprenging o.s.frv koma endir svolítið óvart greinilega vera gefa kynni verð konar framhald geta verða mjög áhugaverður framhald
82,83,8,vita leyti formúlukennd action mynd fíll ekki byssa_NEG ofbeldi bílaeltingaleikur sprenging síðar ekki varla_NEG angel_NEG jolie_NEG vera vega alveg virka kúl staff líka mjög fyndinn kafli aðallega hversu óraunverulegur geta vera kúl special effects t.d. töff bíll trikk maður hafa ekki sjá_NEG áður_NEG margur action mynd keyra áfram byssubardagi dúndrandi rokktónlist alveg óþarfur spá mikið söguþráður
83,84,7,mjög fyndinn teiknimynd jack black klikka ekki penja karakter vera alveg sníða hann mynd líta líka mjög vel margur kúl action atriði töff closeup freezeframe cameraturn effectaar maður kalla svona matrix stíll bara vandaður mynd koma alltaf skemmtilega óvart maður hafa raun gaman bíómynd vera bara teiknimynd
84,85,7,kúl action mynd nógur töff sprenging byssubardagi opnunartitilsena e. opening credit sequence vera virkilega flottur kúl typographyja effectar gangur minna örlítið pulpur caption video líka áhugaverður fræða aðeins tengsl bandaríki sádíarabía
85,86,6,virkilega flottur fyndinn action mynd johi krauss seth macfarlane tala vera eiginlega góður karakter vega fyndinn leika söguþráður kannski ekki hár_NEG klassi_NEG skemma_NEG ekki fyrir_NEG guillermo del toro kunna gera flottur mynd mikill skringilegur vera koma alltaf vel hann tæknibrella virkilega vel gera mjög raunverulegur maður eiginlega ekki alveg_NEG viss_NEG tölvuteikna_NEG búningur_NEG sviðshönnun_NEG
86,87,6,fínn action mynd fullur tæknibrella sprenging mega búa will smith kvikmynd smár plottwist koma maður óvar reyndar koma maður einkennilega sjón óþarfi vera velta mikill svona léttmeti gaman sjá jason batema margur margur stór kvikmynd vís vera lofa maður arrestedur developmentur mynd geta ekki bíða_NEG já viðbót hancock vera alveg sinn nefna youtube vefsíða sýna video youtube sýna fullscreen alveg huge youtube lógó horn tala líkur sinn youtube hellboyja google vera greinilega svolítið product placement bíómynd t.d. mynd crank vera nota google earth sýni svona satellite skot google earth lógó vera svona sæmilega áberandi
87,88,6,kúl franskur action mynd alveg atriði byggja parkour frekar magnaður fyrirbæri fá mikill segja david belle finna parkour leika aðalhlutverk
88,89,9,magnaður mynd virkilega flottur geðveikur myndataka action atriði náttúrulega rosalegur mjög vandaður mjög flott áferð mynd svipaður batman begins kvöldnótt atriði mjög drungalegur skapa svolítið sérstakur stemmning mynd vera líka skuggalega fyndinn aðallega jokerinn eiga hlutur viðeigandi heath ledger standa mjög vel ná gera joker bókstaflega geðveikur karakter maður hafa sjá hvítur tjald koma óvart munu fá óskari maður hafa alveg vera sjá áfram margur batman munu verða spennandi sjá halda áfram búa þriðji mynd endurlífga batman sería miða the dark knightur slá meta fótur vera frekar mikill líkur það frekar langur mynd virða ekki vera_NEG endalaus_NEG bardagi_NEG bak_NEG góður_NEG illur_NEG gaman sjá william fichtner þarna smár hlutverk
89,90,6,eða night watch víst búinn þýða engilsaxneska kúl mynd frekar skrítinn stundum vera ekki alveg_NEG consistency_NEG einn_NEG tilgangur_NEG atriði_NEG virða_NEG vera_NEG bara_NEG geta_NEG gera_NEG kúl_NEG svona_NEG hlutur_NEG það_NEG dúndrandi rokkur tónlist freezeframe slow motion heldri actionmynd trikk flottur fullur funky special effects karakter frekar skrítinn vera söguþráður líkur skrítinnruglingslegur kafli
90,91,8,virkilega góður mynd pixar kunna sannarlega búi tölvuteiknimynd höfða ungur aldinn reyndar hlutur mynd raunverulegur maður finna maður eiginlega ekki vera_NEG horfa_NEG teiknimynd_NEG vera_NEG virkilega_NEG flott_NEG staður_NEG saga vera mjög góður fyndinn vera smár ádeilumynd vera svolítið vera gagnrýna efnishyggja leti o.s.frv. walle klárlegur góður tölvuteiknimynd hafa sjá skemmtilegur sjá imdb síða nota texttospeech forrit fylgja apple tölva tala karakter
91,92,6,fyrri mynd nightur watch day watch svona frekar skrítinn kannski bara rússneskur menning maður ekki alveg_NEG tengja_NEG við_NEG mjög flott greinilega setja töluverður peningur tæknibralla sviðshönnun mjög flott og vera alveg nóg tæknibrella tónlist vera stundum svolítið óviðeigandi skera svolítið finna kvikmyndatónlist eiga passa mjög vel atriði stemmning gera ágætur ævintýramynd urban fantasy handritshöfundur kalla þessi
92,93,7,mjög fyndinn mynd steve carell klikka ekki fullur fínn leikari kúl action atriði góður skemmtun
93,94,8,fáránlegur fyndinn mynd fáránlega fyndinn mynd ekt be stillera jack black húmor rober downey jr. slá oft áður traileri mynd vera líka brillíandur actionpacked grínmynd góður gerð nóg sprenging láta persóna toma cruise leikur algjör snilld vera persónulega nett klikkaður kunna sannarlega leika alveg skuggalega mikið þekktur leikari mynd hér þar
94,95,7,kúl mynd ekt macho actionmynd hraðskreiður bíll gell byssa sprenging formúla virkur algjörlega
95,96,8,vá súr mynd alveg svakalegur stoner mynd alveg rugl fyndinn snilld karakter fullur atriði maður springa hlátur góður stöff vera alveg hellingur action líki byssa sprenging bílaeltingaleikur læti
96,97,6,dísillinn maður standa alltaf vera eiginlega vega búa mindless actionfroða fínn afþreying mjög kúl mynd fullur sprenging action atriði mynd s.s. gera tíman framtíð vera áhugaverður hvernig sjá framtíð ekki mjög_NEG bjartur_NEG framtíð_NEG rugla austurevrópa stríðsástand volæði trúarsöfnuður hlutabréf ganga bara hagna skot scientology vera stemmning new york svolítið svipaður blade runner skýjakljúfur þakinn auglýsing neon ljós eiga google sjónvarpsstöð vega googleur lógó video feed vera mjög kúl vin diesel taka kort virða vera venjulegur stórt roadur map zooma bara færa kort putti kúl vera fínn vera þannig náinn framtíð viðbót hey já mynd vera byrja maður skjár risastór stafur originala music by atlur örvarsson iceland represent vera alveg standa tónlist vera mjög góður hjálpa skapa töff stemmning
97,98,8,virkilega fyndinn mynd coen bróðir vera náttúrulega snillingur búa mjög sérstakur skemmtilegur persóna ska ekki hafa_NEG góður_NEG leikari_NEG leika_NEG persóna_NEG skemmtilegur saga persóna blanda ringulreið fínn afþreying gleyma kreppa smástund
98,99,6,fínn mynd klassa leikari spennandi kafli brillíandur gífurlega frumlegur áhugaverður sjá dexter lífsspekin útfærð aðeins öðruvísi
99,100,8,mjög töff íslenskur action mynd virkilega vel gerð góður handrit góður leikari mjög spennandi kafli vilja fá margur svona íslenskur mynd
100,101,6,fílaði maxa payne tölvuleikinn tími vera kúl frumlegur ekki alveg_NEG viss_NEG bíómynd_NEG finna vanta kannski vera söguþráður vera bögga ég ekki nógur_NEG heilstæður_NEG ekki nógur_NEG vanda_NEG handrit_NEG alveg kúl action atriði byssubardagi klikka sprenging klassískur signature bullettime action búa meiru mikill action mikill keyrsla hugsa vera tölvuleikur mikið megni drungalegur spooky slow endalaust action mynd vera ekki alveg_NEG beint_NEG leikur_NEG náttúrulega ekki alltaf_NEG hægur_NEG virða vera erfiður gera góður bíómynd byggja tölvuleikur
101,102,7,góður action keyrsla áhugaverður pæling varða tækni hafa opna nýr leið fylgja maður ríkisstjórn geta leyfa konar hryðjuverkalag fullur kúl action atriði ekt summer blockbuster að vetur til
102,103,7,ekt jame bond stór sprenging flottur bíll flottar gjalla slagsmál bílaeltingaleikur eitursvalur bond góður action keyrsla
103,104,8,mjög kúl mynd virkilega vel gerð líta mjög vel ekt ridleyja scott mynd action atriði mjög flottur vel leikstýrður finna satellite kvikmyndataka kúla góður handrit áhugaverður saga svona miðausturland mynd vera líka áhugaverður maður hafa kynna heimshluti alltaf gaman skyggna aðeins hann han yfirmaður jórdanískur leyniþjónusta vera náttúrulega langflottur karakter alltaf fáránlega flottur jakkaföt mjög yfirvegaður einn vera reyndar böggur örlítið vera taka núna vera nýr staður nýr land koma alltaf texti staðsetning vera bara undirtexti ekki kúl_NEG fona_NEG töff_NEG animation_NEG gera_NEG ráð_NEG vera_NEG útgáfa_NEG sýna_NEG bandaríki_NEG finna eiginlega sjá fjarlægja smá hluti mynd þannig ekki sýna_NEG leikstjóri_NEG vilja_NEG hafa_NEG hún_NEG síðan taka nýr tegund product placement vera vera sýna gera tölva hljóma microsoft hljóð vera gefa kynni vera vera vinna windows halda vegi hafa vera product placement microsoft hafa borga skilja ekki eiga_NEG vera_NEG troða_NEG fullur_NEG microsoft_NEG hljóð_NEG þarna_NEG new_NEG maill_NEG notification_NEG defaulur beep etc kannski bara taka þessi undirmeðvitund taka kannski ekki yfirleitt_NEG markmið_NEG product_NEG placement_NEG butva i digress flottur spennandi mynd
104,105,7,maður búinn bíða frekar lengi sjónvarpsmynd ákva gera skipulag fara rugl verkfall handritshöfundur gera tími rauntími ekt fílinga slatti sprenging byssubardagi crazy heavyaction mynd ennþá bara sjónvarpsmyndabudget vita leyti takmarka gera rauntími góður stöff hjálp maður þrauka aðeins lengi þangað byrja aftur janúar finna fyndna ætla pynta jack bauer fá tala jack bauer fá pynting morgunmatur munu virka jafn vel kalla ljótur nafn
105,106,7,fínn grínmynd seth rogenva alltaf góður hellingur fyndinn atriði sprenghlægilegur kafli nett væminn lokinn víst partur hollywood formúla
106,107,5,já segja það horfa svona eiginlega óvart mynd ætla bara rétta tékka hún sjá hversu mikill rugl vera horfa alltaf mikill mikill hún halda önn fari hálfnakinn gjalla hafa hafa segja plata alltaf horfa aðeins mjög mynd sæmilega fyndinn kafli skuggalega kjánalega kafli mynd víst framleiddur adam sandlera þannig bregða sandler regular christopher i eatur pieces shitva like you for breakfa mcdonald hugh hefner kærasta fara líka leiksigur
107,108,5,temmilega freðinn mynd fyndinn frekar steiktur húmor framleiddur adam sandler happy madison þannig vera alveg hellingur sandler regular
108,109,5,ágætlega spennandi mynd brillíant hún áhugaverður pæling varða mikill sori net greinilega nægur áhugi sora
109,110,8,harka spennumynd smá jamesva bondjason bourne fílingur liema neeson one mi army rúst vondur kalli parís ágætlega þétt action keyrsla flottur bílaeltingaleikur hætta luc besson semi spoiler alera skuggalegur skyggna mannsalsheimur kvikmynd b yggur raunveruleiki ekki
110,111,7,ágætur scifi mynd ágætlega spennandi hellingur tæknibrella áhugaverður pæling varða mannkyn rúst jörð finna hafa sjá áður svona plot varða vera fara illur jörð eiga ekki skilja_NEG búa_NEG hérna_NEG ætla_NEG taka_NEG muna_NEG bara_NEG ekki alveg_NEG mynd_NEG fifth elemenda kannski smár war the worlds hmm jú geta vera alltaf gaman fara mynd jennifer connelly alveg ridiculously goodur looking
