review,sentiment
"Enn önnur mynd um hvað lífið getur verið erfitt og fólk á stundum erfitt með að finna sig. Drama. Aðeins of þungt yfir þessu til að vera ánægjulegt að horfa á. Indie bragur af þessu. gætlega áhugaverður söguþráður á köflum. Ekki mikið af skemmtilegum persónum.",Negative
"Skrýtin mynd  súr. Eiginlega smá arty  leikarar að leiklistarnördast. Alveg fyndin á köflum  en aðallega hvað hún var flippuðabsúrd. Mikið verið að rembast að láta mjög margar persónur allar tengjast í mega flækju.  tímabili vorum við ekki viss hvort við nenntum að klára myndina",Negative
"Speisuð og skrýtin mynd. Svo psycho. Margar hægar senur. Mikið af WTF mómentum. Eins og það sé verið að reyna gera artý mynd  low budget, þannig að þetta var smá eins og verkefni hjá listaháskólanemum. Handritið var ekki upp á marga fiska  samtölin voru oft kjánaleg og flæðið á milli atriða var stundum skrýtið. Excessive gore. Fyndiðáhugavert að sjá Elijah Wood sem framleiðanda. Jóhann Jóhannsson gerði tónlistina  fallegt að það kom In Loving Memory of our friend í lokinn.",Negative
"Töff mynd. Spennandi. Gott action  góð keyrsla, nánast stanslaus. Virkilega flottar tæknibrellur  leit mjög vel út. Líka ágætlega fyndin á köflum. Maður fer náttúrulega á svona mynd með ákveðið hugarfar  ekki pæla of mikið trúverðugleika og þess háttar ; etta var mjög fín afþreying. Mér fannst byrjunin líka mjög skemmtileg  gaman að blanda þessum sögulega atburði þarna inn og endurskapa hann.",Positive
"Töff mynd. Spennandi. hugaverðar pælingar varðandi heilann og getu okkar. Trailerinn var svolítið villandi, gaf ranga mynd af plotinu.",Positive
"Mjög fyndin. Nett rugl  skemmtilegt rugl :",Positive
"Virkilega góð mynd. Gott handrit. Góður leikur. Mjög spennandi. Einstaklega gaman af svona frumlegum og öðruvísi kvikmyndum. Mjög skemmtilega útfærð miðað við að hún gerist öll í litlum kassakistu.",Positive
"Mjög fyndin mynd. Algjör snilld. Spennandi. Stútfull af þekktum leikurum. Charlie Day var sprenghlægilegur. Síðan brá fyrir Old Spice gaurnum Isaiah Mustafa.",Positive
"Mögnuð mynd. Mjög áhugaverð. Banksy er snillingur. Ef þú hefur mikinn áhuga á götulist eins og ég þá er þetta klárlega mynd fyrir þig. g hafði ekki áður heyrt um Thierry Guetta eða Mr. Brainwash  magnaður karakter. Roni Size sá um hluta af tónlistinni, áhugavert... Líka skemmtilegt að Rhys Ifans er sögumaðurinn. Góð heimildamynd.",Positive
"Mjög góð mynd. Gott action, og nóg af því. Mjög spennandi. Mjög vel gerð kvikmynd  enda mikið af stórum nöfnum bakvið hana framleiðendur, leikstjóri, leikarar, handritshöfundar.... Gott fjör. Afþreying í toppklassa.",Positive
"Áhugaverð dystopian scifi mynd. Spennandi. Fín keyrsla. Töff bardagaatriði og myndataka. Skemmtilegar tæknipælingar.",Positive
"Geggjuð myndataka! essi löngu skot eru svakaleg! Hef ekki séð annað eins. Metnaður. Listaverk. Bravissimo! essi myndataka gerði það að verkum að manni fannst maður vera með þeim í þessu  immersive upplifun sem var alveg mögnuð. Mjög spennandi. Flottir leikarar. takanlegt hvað stríð er klikkað dæmi  algjör bilun. Svo vel gerð og vönduð mynd  allt umhverfið virkar mjög authentic. Meistarastykki! Svo sannarlega mynd sem skilur eitthvað eftir  ég var alveg dolfallinn eftir þetta.",Positive
"Virkilega töff mynd. Back to basics hjá Guy Ritchie  í anda Lock, Stock and Two Smoking Barrels og Snatch með mjög gott handrit, skemmtilegar og áhugaverðar persónur og töff löng UK gangster samtöl  monologues. Mjög fyndin og spennandi  Guy Ritchie nær svo vel að blanda saman action og breskum húmor. Vel sett upp og góð keyrsla  hélt athygli manns vel.",Positive
"Svakaleg saga. Magnað hvað þetta virðist hafa verið toxic vinnuumhverfi. Heill hellingur af frábærum leikurum. Sagan var aðeins öðruvísi en trailerinn og annað markaðsefni gaf í skyn.",Positive
"Spennandi mynd. Ekta hlutverk fyrir Liam Neeson. gætis leikaraval casting. Ekki alveg lowbudget mynd, en production skalinn var svona í minna falli  ekkert mjög mikið af leikurum. Að vissu leyti klassískt vibe  eins og maður hafi séð svipaðar myndir áður.",Positive
"Mjög skemmtileg mynd. Fyndin. Sniðug saga. Hugljúf. Falleg og vel teiknuð mynd. Gaman að sjá að Trent Reznor  Atticus Ross sáu um tónlistina að hluta til.",Positive
"Topp afþreying  gott action og góður húmor. Góð keyrsla. Mikið ofbeldi. hugavert concept  twist á Groundhog Day og þannig myndum, með öðruvísi vinkli. Passlega löng. Frank Grillo er töffari og var skemmtilega kærulaus í þessu hlutverki. Svo er Mel Gibson mættur aftur, farinn að leika í fleiri og fleiri myndum.",Positive
"Svakaleg skrímslastórslysamynd! Spennandi og góð keyrsla  nóg af sprengingum og eyðileggingu á risastórum skala. etta er framhald af myndunum Godzilla: King of the Monsters og Kong: Skull Island  það hjálpar vissulega að vera búinn að sjá þær. Eins og þær myndir er þetta afþreyingarrússíbani og óþarfi að pæla of mikið í lógík í svona ævintýramyndum ????",Positive
"Mjög góð mynd. Spennandi. Fyndin. Brútal  kom eiginlega á óvart hvað það var brútal ofbeldi á köflum. Bob Odenkirk var mjög góður sem algjör harðhaus. En Christopher Lloyd kom líka mjög sterkur inn  geggjaður í sínu hlutverki. að var líka gaman að sjá RZA þarna. Derek Kolstad skrifaði handritið, en hann skrifaði líka handritin að John Wick myndunum  og það er alveg smá svipað concept í gangi í Nobody. Topp afþreying. Passlega löng.",Positive
"Geggjuð nostalgía  þessar helstu persónur og þessir helstu frasar úr tölvuleiknum. Ekki beint vel leikin og handritið mjög takmarkað, en myndin bætti upp fyrir það með nóg af flottum bardagaatriðum. Myndin var brútal eins og leikurinn  ýktar blóðslettur o.s.frv. Fínasta afþreying fyrir fólk sem spilaði tölvuleikina.",Positive
"Gott rugl. Stundum svakalega mikið rugl. Smá innblástur frá Dumb  Dumber   Borat. Sum atriðin voru sérstaklega fyndin. Sum voru meira sjokkerandi. Mjög gaman að sjá behind the scenes atriðin í lokinn með credit listanum. netflix",Positive
"Dramatískur thriller. g myndi lýsa stemningunni sem foreboding vibe. Nokkuð dark  twisted mynd. Lúmskt fyndin inn á milli  svona kaldhæðnis, cynical, svartur húmor. Solid mynd. Vel gerð.",Positive
"Mjög spennandi. Svakaleg stríðsatriði  sérstaklega árásin á Pearl Harbor. Nokkuð þétt keyrsla  hoppað yfir atburði og daga til að komast hratt í aðalefnið.",Positive
"Spennandi. Gaman að sjá origin söguna fyrir Captain America  veit ekki alveg af hverju ég sá hana ekki á sínum tíma. Kannski var Marvel hypeið ekki alveg byrjað og maður var ekki kominn í áskrift þar sem ég held ég sé búinn að sjá allar hinar myndirnar ???? Hugo Weaving er alltaf góður sem vondi kallinn. Meiri Star Wars fílingur en ég bjóst við.",Positive
"Mjög spennandi mynd. Svakaleg action atriði. gætis plot. Michael B. Jordan var grjótharður. að var skemmtilegt að það voru nokkrar vísanir í restina af Tom Clancy heiminum. Svo var það Jónsi úr Sigur Rós sem sá um tónlistina  bjóst ekki við því.",Positive
"Töff mynd. Spennandi og svakaleg action atriði. Jason Statham var grjótharður eins og alltaf. Hann var sérstaklega alvarlegur og einbeittur determined í þessari mynd. Hann er oft glettilega fyndinn og með góða frasa, en núna var hann skiljanlega mjög reiður. Tónlistin var geggjuð  skapaði mjög góða stemningu spennu. Ekki hefðbundin Guy Ritchie mynd  ekki eins mikið af skrautlegum persónum og hnyttnum samtölum. En mjög solid spennumynd.",Positive
"Spennandi mynd. hugavert concept. Dark og hrá kvikmynd. Solid action atriði inná milli. Blake Lively var mjög góð  áhugaverð og skemmtileg karakterþróun í gangi. netflix",Positive
"Töff mynd. Spennandi  mjög spennandi á köflum. Fínasta action. Skrautlegar persónur. En sum samtöl hefðu getað verið eðlilegri meira smooth  handritið hefði geta verið betra. En kannski er það bara viðeigandi að zombie myndir séu almennt nokkuð heilalausar ; hugaverðir uppvakningar zombies  smá parkour stemning. Löng mynd. netflix",Positive
"Mjög spennandi og stressandi mynd. Maður var alveg á nálum og brá alveg nokkrum sinnum. Tónlistin og hljóðið ýtti undir stressið og mjög skemmtilegt hvernig var spilað með þegar það var lítið eða alls ekkert hljóð. Góð saga og handrit. Mjög vel leikin  fullt af fínum leikurum. etta var meiri skrímslamynd heldur en fyrri myndin  þar sá maður miklu minna af skrímslunum og það var meiri spenna í kringum óvissuna. að var gaman að fræðast meira um hvernig þetta byrjaði, þegar skrímslin komu fyrst.",Positive
"Skemmtileg fjölskyldumynd. gætlega spennandi. Nauðsynlegt að sjá þessa legendary sögu. Töfrandi heimur. Fín lög. lafur var sérstaklega skemmtilegur. disneyplus",Positive
"Mögnuð mynd. Intense  hljóð og tónlist skapaði mjög dramatíska stemningu. étt keyrsla  mikið í gangi og verið að hoppa fram og til baka í mismunandi tímabil. hugaverð saga og persónur. Fullt af geggjuðum leikurum. Virkilega flott mynd  enda ekki við öðru að búast frá Christopher Nolan. ",Positive
"Mjög áhugaverð mynd. Skemmtileg frumkvöðlasaga. gætlega spennandi. Hellingur af skemmtilegum vísunum í s og s tækni og nördaskap.",Positive
"Áhugaverð saga. Gaman að fræðast meira um baksöguna og þennan heim. Mjög spennandi á köflum. Lögin ekki alveg eins góðskemmtileg og í fyrri myndinni  kannski koma þau betur út á ensku. disneyplus",Positive
"Svakaleg mynd! Nánast stanslaus keyrsla af ekta John Wick bardögum  í tæpa  tíma ???? Virkilega flott mynd  geggjuð myndataka og verið að berjast um allan heim í töff umhverfi. g var að elska að það var spilað Genesis með Justice í svakalegu bardagaatriði í París. John Wick virðist vera með endalausar birgðir af adrenalíni  hann getur alltaf haldið áfram þótt hann sé allur lemstraður og særður ???? Stundum smá kómískt hvað hann lendir í. Mikið af tilkomumiklum atriðum sem var örugglega krefjandi að skipuleggja og hanna bardaga kóreógrafíuna. ",Positive
"Mjög spennandi mynd  sem er magnað fyrir mynd um sölu á tölvuleik. Virkilega vel gerð mynd. Góð keyrsla, góð saga og gott handrit. Mjög flott bit grafík á milli atriða. Skemmtilegt að heyra smá Tetris tónlistina í bakgrunni í sumum atriðum.",Positive
"Góð mynd. Spennandi. Töff. Hörku action atriði. Wakanda heimurinn er mjög skemmtilegur. Fullt af góðum leikurum og töff persónum. disneyplus",Positive
"Brillíant mynd! Maður hefur verið að horfa á sketsa á netinu frá The Lonely Island gaurunum undanfarin ár þannig að ég bjóst nú við nokkuð fyndinni mynd  en þetta sló allt út, margfalt fyndnari en ég bjóst við. g man ekki eftir því að bókstaflega grenja af hlátri svona oft yfir einni mynd  maður var stundum alveg í krampakasti : Alveg magnað hvað svona random vitleysa svipað og í Family Guy getur verið fyndin  fáránlega súr sum atriðin, en samt ótrúlega fyndin. Ein besta grínmynd sem ég hef séð nýlega.",Positive
"Mögnuð mynd  virkilega flott, geðveik myndataka og action atriðin voru náttúrulega rosaleg. Allt mjög vandað  mjög flott áferð á myndinni. Svipað og í Batman Begins þá voru kvöldnætur atriðin mjög drungaleg  skapaði svolítið sérstaka stemmningu... Myndin var líka skuggalega fyndin inn á milli  þá aðallega þegar Jokerinn átti í hlut, enda viðeigandi. Heath Ledger stóð sig mjög vel  náði að gera Jokerinn bókstaflega einn geðveikasta karakter sem maður hefur séð á hvíta tjaldinu, kæmi alls ekkert á óvart að hann myndi fá skarinn. Maður hefði alveg verið til í að sjá hann áfram í fleiri Batman myndum... Verður spennandi að sjá hvort þeir haldi áfram og búi til þriðju myndina í þessari endurlífguðu Batman seríu  og miðað við að The Dark Knight er að slá hvert metið á fætur öðru þá eru frekar miklar líkur á því. Frekar löng mynd, en virtist samt ekki vera það  endalaus bardagi fram og til baka á milli góðs og ills. Gaman að sjá William Fichtner þarna í smá hlutverki...",Positive
"Algjör snilld. Fáránlega fyndin mynd  Jim Carrey í essinu sínu. Maður var oft alveg í hláturskasti  það er alltaf hressandi, ekki nógu oft sem bíómyndir eru svona sprenghlægilegar. Jim Carrey svona silly og spontaneous er alveg að gera góða hluti...",Positive
"Mjög kúl mynd. Guy Ritchie virðist vera kominn aftur... Kannski ekki alveg jafn góð og Lock, Stock and Two Smoking Barrels og Snatch  en mjög svöl action mynd með sama gamla Guy Ritchie stílnum, ásamt nokkrum nýjum trickum. Flottar klippingar og töff sjónarhorn. Mjög skemmtilegar persónur og glettilega fyndin á köflum.",Positive
"Mjög góð mynd. Mjög flott  flott myndataka og vel leikstýrð. Góð saga  fyndin og spennandi. Vel leikin. Já, nokkurn veginn mjög góð mynd í alla staði... Stelpan, Latika, eða s.s. Freida Pinto er alveg skuggalega falleg  maður hlýtur að sjá hana í fullt af kvikmyndum í framtíðinni.",Positive
"Virkilega góð mynd. Michael Mann er snillingur, kann virkilega að meta það sem hann gerir. rugglega í svona .. skiptið sem ég horfi á þessa mynd en eftir stutta leit í þessum kvikmyndagagnagrunni sem ég er með hérna fann ég ekki gagnrýni fyrir Collateral. Erfitt að skjóta stjörnum á þetta, hefði pottþétt gefið henni  ef ég væri að sjá hana í fyrsta skipti í bíó en þetta var bara á RV og ekkert að blasta neitt heimabíókerfi... En já, klassa mynd. Góðir leikarar. Gott handrit. Virkilega kúl action atriði. Flott myndataka  svipað og í Public Enemies, skotið digital, notuð náttúrulegeðlileg lýsing það sem er til staðar, steadicam... Gott stöff. Eða hvað, ætti ég bara að setja  stjörnur á þetta? Jú, fuck it.",Positive
"Klikkað spennandi mynd! Mögnuð mynd. Mjög góð. Vel gerð, vönduð. Gott handrit. Góð keyrsla. Góðir leikarar. Ef maður tekur mark á þessari mynd og Funny Games U.S. þá er ekkert sniðugt að eiga sumarhús við stöðuvatn lengst frá öllu ; Mér finnst frekar magnað að þessi mynd var tekin upp í SuðurAfríku, hefði aldrei dottið það í hug. Man ekki eftir annarri Hollywood mynd sem er tekin upp í SuðurAfríku.",Positive
"Kúl mynd. Töff áferð á henni, allt frekar brúngráleitt  setti viðeigandi tón fyrir svona eftirheimsendi postapocalytic mynd. Denzel eitursvalur eins og venjulega. Mjög flott slagsmálaatriði. Mila Kunis var líka nokkuð kúl  það þarf ekkert að fara nánar út í það hvað hún er fiiine. að er greinilegt að í framtíðinni er bráðnauðsynlegt að eiga flott sólgleraugu ; Nokkur skemmtileg product placements  iPod Classic sem var ennþá alive and kicking og svo Beats by Dr. Dre heyrnatól  mismunandi týpur. að var nett kúrekastemning  lone drifter walking through town, smábær í eiðimörkinni, barhóruhús sem höfuðstöðvar vonda kallsins...",Positive
"vílík snilld! vílíkar sprengingar! vílíkt testosterón! etta er alveg mögnuð mynd. Annað eins safn af vöðvabúntum, hasarhetjum og harðhausum hefur ekki sést. g mæli með að fara á powersýningu  krafturinnbassinn í þessum byssum og sprengingum er algjör snilld. Virkilega góð skemmtun  rússíbani af sprengingum og byssubardögum. Nett fyndin líka á köflum vísvitandi eða ekki. að þarf varla að nefna að með svona mynd býst maður við ekki við mjög innihaldsríku handriti eða einhverjum stórleik.",Positive
"Mjög spennandi  magnaður thriller. Fínasta handritplot. Mér fannst þetta vera töluverð ádeila á lyfjaiðnaðinn og kúltúrinn í kringum það að lyf séu lausnin við öllu. Vel leikstýrð, eins og má búast við hjá Steven Soderbergh. Fegurð. Góðir leikarar.",Positive
"Rosalegt action. Rosaleg spenna. Rosaleg keyrsla. Rosalega góðir leikarar. Rosaleg mynd. Magnaðar tæknibrellur. Dúndrandi skemmtun. essi Marvel heimur er magnaður  alltaf að tengjast meira og meira og bætast við fleiri myndir... að var vissulega slatti af product placement vörulaum eins og gengur og gerist í svona risastórum myndum  en mér fannst áhugavert að sjá SpeedTest.net þarna, kom mér á óvart : Fyrir þá sem hafa áhuga á því þá er atriði eftir creditlistann  Ekkert mustsee, en smá skemmtilegt.",Positive
"Ég geri ráð fyrir að myndin hafi verið tekin upp stafrænt og það setti svolítið sérstakan brag á hana. Hún var svolítið hrá á köflum og smá dogma stemmning þannig séð að það var eins og það væri eiginlega bara notast við náttúrulegatiltæka birtu. að gerði að stundum var eins og maður væri að horfa á heimildamynd, sem gerði hana svolítið raunverulegri. Topp leikarar  Johnny Depp og Christian Bale eru náttúrulega með bestu leikurum sem eru í gangi núna. Spennandi saga og skemmtilegir eltingaleikir.",Positive
"Í stað þess að hafa sögu eru bara stuttir sketsar. Myndin er ógeðsleg, ófyndin og í alla staði hræðileg. Ég hló einu sinni. Allt sem að var gott við fyrri myndina er eyðilagt. Ætla aldrei aftur að horfa á hana. Eitt af af verstu myndum allra tíma.",Negative
"Allt það sem að gerði kvikmyndaseríuna skemmtilega er tekið í burtu í þessari leiðinlegu og heimskulegu mynd. Það voru nokkur fyndin grín en þau eru sett upp mjög illa. Enginn karakter nýtur sín og er tilvera myndarinnar óþarfi.",Negative
"Myndin hefði verið betri ef að Mahoney væri í henni en samt er myndin yfir höfuð vond. Það eru nokkur fyndin grín en myndin er ein stór tímasóun. Skrýtið hversu margir ákveðu að leika í myndinni. Sagan er líka heimskuleg.",Negative
"Þessi mynd lætur mann bara bera meiri virðingu fyrir fyrstu myndinni. Aðalkarakterinn var óþolandi og hefði Ty Webb átt að fá það hlutverk. Handritið er mjög heimskulegt og myndin er bara mjög leiðinleg. Það eru svona þrjú fyndin grín í myndinni.",Negative
"Efniviðurinn sem að var valinn var agalegur og virkaði alls ekki. Paul Hogan er samt ennþá góður og eru bestu senurnar í myndinni þegar hann er með Jacko eða Mikey. Það eru svona fjögur fyndin grín og handritið er mjög lélegt.",Negative
"Til þess að gera góð mynd þarftu að hafa skemmtilega karaktera sem að eru ekki pirrandi, sem að þessi mynd hefur ekki. Ég er ekki beint markhópurinn á  myndina en þessi mynd er bara mjög leiðinleg. Myndin er samt vel gerð og sumir leikarnir voru fínir.",Negative
"Ég hata að segja það en þessi mynd er ekki alslæm eins og allir segja. Þetta er alveg mjög heimskuleg og ófyndin mynd en ég hló nokkrum sinnum og mér leiddist ekki mikið og leikurinn er líka fínn. En handritið, hugmyndin og allt annað er hræðilegt.",Negative
"Myndin byrjar ágætlega en þegar þau koma á eyjuna verður hún hræðileg og myndin hefði átt að gerast á heimilinu. Ég hló nokkrum sinnum en myndin er ójólaleg, leiðinleg og heimskuleg. Serían virkar ekki án Chevy og Beverly.",Negative
"Eitt af verstu myndum sem að ég hef séð. Það var reynt að gera eitthvað nýtt, en ég var samt að drepast úr leiðindum. Það voru svo margar heimskulegar senur og grín, og ég hélt að myndin ætlaði aldrei að enda. Lokatónlistaratriðið var samt gott.",Negative
"Byrjar ágætlega en ég missti áhugann þegar þetta varð að Narniu paródíu. Ekki mikið af fyndnum grínum en myndin er samt smá áhugaverð á köflum. Mikið af atriðum voru ógeðsleg og mér leið eins og þessi mynd væri miklu lengri en hún var í raun og veru.",Negative
"Skil ekki hvernig fólki finnst þessi mynd góð því að hún er alltof löng, mjög leiðinleg, uppfyllt af fitufordómum og eldist mjög illa. Leikurinn er líka vondur í myndinni ásamt hræðilegri lýsingu. Alls ekkert versta mynd í heimi en mjög mjög ofmetinn.",Negative
"Manni líður ekki eins að þetta sé skopstæling á þessum myndum heldur frekar framhald af myndunum. Mjög heimskuleg hugmynd en samt nokkuð afþreyingjandi mynd með nokkuð skemmtilegum endi. Alls ekki alslæm en vond miðað við aðrar spoof myndir.",Negative
"Óþarfa framhaldsmynd sem að enginn bað um. Ekki hörmuleg mynd en samt frekar leiðinleg, heimskuleg og hallærisleg að mestu leyti. Myndin byrjaði reyndar vel og endar líka skemmtilega. En í miðjunni eru leiðinlegar senur sem að eldast sérstaklega illa.",Negative
