movie,review,rating,sentiment
YOU PEOPLE,"Þó að það sé verið að taka fyrir málefni sem að eru ekki hentug fyrir gamanmynd þá er myndin fyndin. Akbar og Shelley eru mjög pirrandi og skemma myndina smá, en það gerir myndina líka aðeins fyndnari. Myndin er samt aðeins of löng en samt skemmtileg.",7,Positive
UNE ANNÉE POLAIRE,Söguþráðurinn er kannski ekkert beint mjög sérstakur en myndin er samt nokkuð góð og öðruvísi. Leikurinn er líka alveg fínn og er upptakan til fyrirmyndar. Alls ekkert frábær mynd en fín mynd fyrir hvað hún er. Sögusviðið er líka mjög áhugavert.,7,Positive
PERLUR OG SVÍN,Myndin er nógu afþreygjandi og fyndin til þess að vera talin skemmtileg þó að hún sé ekkert sérstök. Það besta við myndina eru karakterarnir og það hefði átt að gera þætti um þessa karaktera. Þó að söguþráðurinn er skrýtinn þá er myndin bara fín.,7,Positive
AIRPLANE!,Klárlega ein besta og sniðugasta gamanmynd mannkynssögunnar. Í gamanmyndum er leikurinn oftast ekkert mjög sérstakur en hérna er hann framúrskarandi. Þetta er líka mjög vönduð og fyndin mynd sem að svarar þörfum áhorfenda. Nánast fullkomin kvikmynd.,9,Positive
VOLAÐA LAND,Þessi mynd er mjög ruglingsleg og skrýtin. Myndin byrjar ágætlega en síðan dettur allt samhengi í sundur og ég skildi eiginlega ekki neitt sem að gerðist í seinni hlutanum. Myndin er samt vönduð og er leikurinn einnig góður en myndin er of listræn.,5,Negative
WALK THE LINE,"Ég vissi ekki hver Johnny Cash var áður en ég sá myndina en eftir að ég sá hana er ég  aðdáandi hans. Eiginlega allt í myndinni er gert mjög vel en leikurinn, handritið, leikstjórnin og leikmyndin er upp á tíu. Með betri ævisögumyndum alllra tíma.",8,Positive
NAPÓLEONSSKJÖLIN,Það besta við myndina er hversu vönduð myndin er framleidd og leikstýrð. Það er samt óþarfi að myndin sé 90% á ensku og síðan vantar samhengi í ákveðnar senur. Leikurinn er samt til fyrirmyndar og er fyrri hluti myndarinnar sérstaklega góður.,7,Positive
A MILLION WAYS TO DIE IN THE WEST,Myndin hefur allavega skemmtilega leikara en söguþráðurinn er samt ekki neitt neitt. Þetta er samt alveg mjög fyndin og skemmtileg mynd. En þegar á botninn er hvolft er þetta líka gleymanleg mynd sem að er ekkert meistaraverk.,7,Positive
THREE AMIGOS,Það sem að virkar best við myndina er frammistaðan og samskiptin hjá aðal tríóinu. Tónlistin í myndinni er líka ein sú besta í kvikmyndasögunni. Það vantaði einhver grín en það var samt fullt af frábærum grínum. Fyrri hluti myndarinnar er samt betri.,8,Positive
TRIANGLE OF SADNESS,Mjög áhugaverð og skemmtileg mynd sem að er samt ekki fullkominn. Hugmyndin er góð en lokaútgáfan hefði getað verið aðeins betri. Leikurinn er samt mjög góður og er handritið og leikstjórn til fyrirmyndar. Karakternir eru líka skemmtilegir.,8,Positive
RUSH HOUR 3,Myndin er betri en önnur myndin því að þessi er aðeins skýrari og eftirminnilegri. Heildarhugmyndin er samt ekkert ný og eru grínin ekkert mjög fersk. Myndin er samt skemmtileg og aðaldóið er enþá frábært. En reyndar byrjar myndin frekar leiðinlega.,7,Positive
DEATH AT A FUNERAL (2010),Þó að myndin eldist ekki mjög vel er hún samt nógu skemmtileg. Söguþráðurinn er frekar heimskulegur en það er mikið af frábærum leikurum í myndinni sem að gera upp fyrir það. Grínin í myndinni voru mjög fyndin en það vantaði fleiri grín.,7,Positive
RUSH HOUR 2,"Ég vildi að öll myndin hefði gerst í Hong Kong í staðinn fyrir að fara aftur til Los Angeles. Myndin er líka ekki jafn eftirminnileg né fersk og fyrsta. Aðaldóið er samt enþá gott og er er myndin góð skemmtun og eru grínin, sagan og spennan frábær.",6,Positive
CADDYSHACK II,Þessi mynd lætur mann bara bera meiri virðingu fyrir fyrstu myndinni. Aðalkarakterinn var óþolandi og hefði Ty Webb átt að fá það hlutverk. Handritið er mjög heimskulegt og myndin er bara mjög leiðinleg. Það eru svona þrjú fyndin grín í myndinni.,3,Negative
RUSH HOUR,Aðaldúóið er bara yfir höfuð skemmtilegt en seinni hluti myndarinnar var samt betri en fyrri hlutinn. Myndin er kannski smá ofmetin vegna löngu spennusenana og það eru til betri grínspennumyndir. Samt er ég aðdáandi af myndinni og er myndin skemmtileg.,7,Positive
CHEAPER BY THE DOZEN (2022),"Ég átti ekki von á því, en mér fannst þessi mynd vera góð. Zach Braff er góður í sínu hlutverki ásamt öðrum leikurum og er myndin bara mjög skemmtilegt. Ég held samt að þetta hefðu frekar átt að vera sjónvarpsþættir heldur en kvikmynd.",7,Positive
CROCODILE DUNDEE IN LOS ANGELES,Efniviðurinn sem að var valinn var agalegur og virkaði alls ekki. Paul Hogan er samt ennþá góður og eru bestu senurnar í myndinni þegar hann er með Jacko eða Mikey. Það eru svona fjögur fyndin grín og handritið er mjög lélegt.,4,Negative
HUSTLE,"Aðalvandamálið við myndina er að hún er bara of leiðinleg yfir höfuð. Aðaldúóið virkaði ágætlega og var dúóið það besta við myndina. En söguþráðurinn er ekki neitt neitt og myndin er líka frekar ruglingsleg. Myndin er líka of löng, en leikurinn var ágætur.",5,Negative
22 JUMP STREET,"Myndin byrjar mjög vel því að framhaldsskólahugmyndin er mjög góð og sniðug. En myndin dalar þegar að þetta fjallar um amerískan fótbolta og vinslit dúósins. Endirinn var samt mjög góður og er myndin alveg fyndin og skemmtileg, þökk sé Ice Cube.",6,Positive
21 JUMP STREET,"Þessi mynd er kannski ekki eitthvað nýtt en aðal dúóið virkar mjög mjög vel. Myndin er aðeins of löng samt og skringilega sett saman en hún er samt mjög skemmtileg og fyndin, þrátt fyrir ofnotaða hugmynd. Ekki besta mynd í heimi, en samt góð mynd.",7,Positive
MALEFICENT,"Til þess að gera góð mynd þarftu að hafa skemmtilega karaktera sem að eru ekki pirrandi, sem að þessi mynd hefur ekki. Ég er ekki beint markhópurinn á  myndina en þessi mynd er bara mjög leiðinleg. Myndin er samt vel gerð og sumir leikarnir voru fínir.",4,Negative
AFTERSUN,Þrátt fyrir að myndin er frekar óskýr og löng er þessi mynd samt mjög skemmtileg. Leikurinn er líka sérstaklega góður og eru allir leikarnir frábærir. Myndin er samt nokkuð endurtekin og hefði mátt færast meira til. Samt mjög góð grunnsaga og handrit.,8,Positive
BEVERLY HILLS COP III,Betri en önnur myndin því að þessi var mynd var eiginlega bara Die Hard í skemmtigarði sem að er gaman. Það er mikið af flottum áhættuatriðum og mikið af góðum húmor. Myndin hefði getað verið gerð nokkrum árum fyrr þegar Eddie var ferskari.,7,Positive
VILLIBRÁÐ,"Það besta við myndina er að hún er mjög skemmtileg og sniðug, þrátt fyrir að vera endurgerð. Myndin er mjög fyndin en ég held að hún hefði getað verið örlítið meira fyndnari. Leikurinn er líka frábær en myndin dalar aðeins þegar hún verður of dramatísk.",8,Positive
DISASTER MOVIE,"Ég hata að segja það en þessi mynd er ekki alslæm eins og allir segja. Þetta er alveg mjög heimskuleg og ófyndin mynd en ég hló nokkrum sinnum og mér leiddist ekki mikið og leikurinn er líka fínn. En handritið, hugmyndin og allt annað er hræðilegt.",4,Negative
TAG,"Mér er sama hvað fólk segir en þessi mynd er frábær. Leikarnir eru það besta við myndina, sem að gera þessa mynd fyndnari og skemmtilegri. Myndin byrjar hægt en hugmyndin er samt mjög góð. Myndin er með betri gamanmyndum allra tíma. Vona að það komi framhald.",9,Positive
LEYNILÖGGA,"Mjög skemmtileg og afþreyandi mynd sem að hefur mjög góð grín, en ekki nógu mörg. Spennusenurnar eru samt mjög góðar og handritið yfir höfuð líka. Leikurinn, leikstjórnin og klippingin eru líka til fyrirmyndar. Án efa ein besta íslenska kvikmyndin.",8,Positive
THE MATRIX,Ein mín umdeildasta skoðun er sú að þessi mynd er ofmetin. Ég ber virðingu fyrir fólki sem að finnst hún vera góð en mér finnst hún vera of leiðinleg eiginlega og ekkert sérstök. Handritið er heldur ekki það gott en það eru góðar spennusenur í endann.,5,Negative
DADDY'S HOME 2,Söguþráðurinn er mjög sniðugur og leikarnir eru frábærir. Ég hló líka mjög mikið yfir henni og myndin mjög góð skemmtun. Það hefði verið betra að láta hana bara gerast í bústaðnum samt og myndin dalar aðeins þegar að allir verða pirraðir í lokin.,8,Positive
DADDY'S HOME,Það versta við myndina er að Brad er eini viðkunnarlegi karakterinn en allar hinar persónurnar eru hræðilegar manneskjur. Myndin er samt mjög fyndin en samt frekar endurtekin. Söguþráðurinn er samt frekar leiðinlegur en myndin er mjög skemmtileg.,7,Positive
SANTA WHO?,Nielsen er frábær í sínu hlutverki og er myndin mjög góð skemmtun og fyndin yfir höfuð. Söguþráðurinn er samt frekar götóttur og leiðinlegur þó að hugmyndin sé góð. Sögusviðið var samt ekki nógu áhugavert og mér leið eins og myndin væri mikið lengri.,7,Positive
ERNEST SAVES CHRISTMAS,Ofmetin mynd sem að fjallar alltof lítið um Ernest og fer flestur fókusinn á þennan leiðinlega Joe og jólasveininn. Stelpan var mjög pirrandi og auk þess er sagan frekar leiðinleg. Jim Varney var frábær og myndin er allt í lagi skemmtun.,5,Negative
ELF,"Kannski ögn ofmetin mynd sem að er samt alveg hægt að hlægja af. Ég held að myndin hefði samt verið betri ef að hún hefði verið hugsuð fyrir eldri aldurshópa. Það var aðeins of mikið af hallærislegum og barnalegum augnablikum en fyrir utan það, fín mynd.",6,Positive
NATIONAL LAMPOON'S CHRISTMAS VACATION 2,"Myndin byrjar ágætlega en þegar þau koma á eyjuna verður hún hræðileg og myndin hefði átt að gerast á heimilinu. Ég hló nokkrum sinnum en myndin er ójólaleg, leiðinleg og heimskuleg. Serían virkar ekki án Chevy og Beverly.",3,Negative
HOME SWEET HOME ALONE,"Myndin hefur mest óþolandi krakkann í allri seríunni og það er óþolandi hvernig þau eru of mikið í takt við tímann. Þjófarnir voru bestu persónurnar, og því var leiðinlegt að sjá þau meiðast. Maður hlær líka mjög sjaldan yfir myndinni.",5,Negative
HOME ALONE - THE HOLIDAY HEIST,Mjög vanmetin mynd þó að gildrurnar voru vondar. Mér leið ekki eins og ég væri að horfa á Home Alone mynd og það hefði verið betra ef þetta yrði sín eigin mynd. Krakkinn var frekar óþolandi en Eddie Steeples bjargaði myndinni.,7,Positive
HOME ALONE 4,Ekki jafn vond og allir segja en samt vond því að flest atriðin voru mjög hallærisleg og gildrurnar voru ömurlegar. Leikurinn hjá börnunum og þjófunum var hræðilegur en hjá öðrum mjög góður. Skrýtið hvað þau fengu mikið fjármagn til að gera myndina.,5,Negative
HOME ALONE 3,"Verri en í minningunni því að allir karakterarnir eru mjög leiðinlegir fyrir utan Alex, hann er ágætur. Fyrri hlutinn er mjög leiðinlegur en seinni hlutinn er betri, gildrurnar eru fínar. Myndin er líka of barnaleg og hún hefði átt að vera jólamynd.",5,Negative
DECK THE HALLS,Frekar mikið ofmetin mynd sem að byrjar vel en verður þreytandi og leiðinleg. Allir karakterarnir eru líka ömurlegir og mjög illkvittinn. Í byrjuninni voru samt mjög mikið af fyndum grínum. Boðskapurinn um að jólaljós gera lífið betra er ömurlegur.,5,Negative
THE HOLIDAY,Mjög skemmtileg mynd sem að er aðeins of væmin samt. Báðar sögurnar eru mjög skemmtilegar líka. Það hefði mátt gera þessa mynd betur en það sem við höfum er líka bara fínt. Myndin er aðeins of löng og það er líka bara nóg að sjá þessa mynd einu sinni.,7,Positive
THE MAZE RUNNER,Of löng mynd sem að gerist ekkert í og hún myndi ekki virka án framhaldsmynda sem að er aldrei gott. Líka frekar ofmetin mynd sem að þarfnast mikilla fleiri útskýringa á hvað er í gangi. Brellurnar eru samt góðar og myndin er afþreyjandi á köflum.,5,Negative
GAURAGANGUR,"Fyrir myndina ákvöðu þau að sleppa flest af áhugaverða efninu úr bókinni og einblína frekar á þessa vægast sagt leiðinlegu ástarsögu. Ormur er frekar óþolandi í myndinni en leikurinn hjá öðrum er mjög góður. Myndin er samt bara príðileg, fín skemmtun.",5,Negative
DATE MOVIE,"Ekki jafn slæm og flestar Friedberg Seltzer myndir. Ég hló frekar mikið og margir karakterar voru fyndnir. Einnig var sagan og boðskapurinn ágætur, þrátt fyrir að vera stolinn úr myndinum sem var verið að gera grín af. Alls ekkert meistaraverk samt.",6,Positive
HOME ALONE 2 - LOST IN NEW YORK,"Hugmyndin fyrir myndina er ekki það áhugaverð og skemmtileg en myndin er samt mjög fyndin. Kevin er ekki það skemmtilegur og ég hélt meira með þjófunum í þessari, því að hann reyndi að myrða þá. Dúfakonan var skrýtin karakter líka.",7,Positive
NATIONAL LAMPOON'S CHRISTMAS VACATION,"Ekki bara besta jólamyndin heldur líka ein besta mynd allra tíma. Chevy Chase er frábær í öllu en þarna er hann á toppnum á ferlinum. Myndin er fullkominn og ég vildi að hún hefði verið lengri, að við hefðum fengið meira.",10,Positive
HOME ALONE,Klassík mynd sem að ég þarf að sjá á hverjum einustu jólum. Mér finnst samt myndin vera of löng og það hefði verið skemmtilegra að sjá meira af gildrunum. Leikurinn í myndinni er stundum góður og stundum ekki en leikstjórnin og handritið eru frábær.,8,Positive
THE PINK PANTHER 2,"Aðal vandamálið er að sagan er ekki það áhugaverð og myndin er ekki nógu fyndin. Karakterarnir frá öðrum löndum eru leiðinlegir og taka burtu tíma fyrir Clouseau senur. Það eru nokkrar mjög fyndnar senur, en of fáar. Tomlin var frábær karakter.",6,Positive
SCARY MOVIE 5,Skil ekki alveg hvernig þetta er Scary Movie 5 því sem að engin af upprunalegu karakterunum eru í myndinni. Sagan er smá áhugaverð og myndin er fín á köflum en þetta er samt óþarfa og heimskuleg framhaldsmynd sem að er byggð á senum af frægu fólki.,5,Negative
THE NAKED GUN - FROM THE FILES OF POLICE SQUAD!,"Allar senurnar í myndinni voru fullkomnar á sinn hátt og það var ekkert grín sem að var ekki fyndið og leikurinn er góður. Hafnarboltasenan var aðeins of löng en þetta er ein besta mynd allra tíma, fullkominn mynd.",10,Positive
VEGAS VACATION,"Aðal gallinn við myndina er að fjölskyldan er eiginlega ekkert saman í henni og staðsetningin er ómerkileg og sögurnar um krakkana eru leiðinlegar. Fyrsti hálftíminn er samt góður. Myndin er fyndin, en handritið er ekki gott og myndin er sorgleg.",5,Negative
CHAPLIN,Það hefði verið betra að sýna meira frá kvikmyndaferli hans því að efnið í myndinni er landregið og leiðinlegt. Það var verið að velja leiðinlega parta af lífi hans. Þau hefðu átt að sýna þegar hljóðið kom. Myndin fær fimm stjörnur fyrir frábæran leik.,5,Negative
"PLANES, TRAINS AND AUTOMOBILES","Án efa ein mynd besta mynd allra tíma, frá frábæru grínunum, leiknum, samskiptunum karakterana og frábæra tóninum. Myndin er kannski smá endurtekin en það er það eina vonda sem ég hef að segja. Ætla að horfa á hana 30 sinnum á ári.",9,Positive
SUMARLJÓS OG SVO KEMUR NÓTTIN,"Aðalvandamálið við myndina er að það eru of mikið af karakterum og sumir þeirra eru mjög ómerkilegir þó að sumir voru ágætir. En sumir karakterar tengjast ekkert. Myndin er líka of löng og hefði mátt sytta hana, en hún er skemmtileg.",7,Positive
SEXTUPLETS,Sniðug hugmynd sem að hefur skemmtilega karaktera. Það hefði verið skemmtilegra ef að öll systkynin væru saman í fleiri senum. Það er ekki það mikið af fyndnum grínum en myndin er samt fínasta skemmtun. Leikurinn er líka mjög góður en Wayans er frábær.,7,Positive
WEDDING CRASHERS,Það hefði verið betra að láta alla myndina gerast í brúðkaupinu því að sumbarbústaðaferðin er ofnotuð hugmynd. Þetta er samt góð mynd með góða grunnsögu og er fyllt af góðum grínum og er myndin költ klassík. Hefði samt viljað sjá meira af Chazz.,8,Positive
WHITE CHICKS,Frekar ofmetinn mynd sem að hefur samt sín augnablik. Endaútspilið og lokasenan eru til dæmis mjög góð. Myndin er samt alltof löng og ekki nógu skýr. Helmingur grínana voru ófyndin en hinn helmingurinn var góður. Ég væri samt til í að sjá framhald.,6,Positive
STAN HELSING,Fyrri hlutinn er skemmtilegur og fyndin en myndin verður leiðinleg í seinnihlutanum. Myndin hefur samt fyndna karaktera sem að bjarga flestu. Þetta hefði frekar átt að vera stuttur sjónvarpsþáttur og þau hefðu átt að fara í hrekkjavökupartíið frekar.,6,Positive
