num,id,review,rating,sentiment
21,22,"Jahá... með góða ok, alla veganna vel þekkta leikara í öllum helstu hlutverkunum er maður eiginlega hálf vonsvikinn að það sé ekki hægt að gera betri mynd. Maður verður eiginlega að kenna handritinu ogeða leikstjóranum um. Myndin átti samt alveg nokkur góð móment  en Uma Thurman var svolítið að ofleika þennan sækó gellu karakter. Síðan var tónlistin aðeins of cheesy  minnti á svona týpíska tónlist sem var ofnotuð í s myndum.",4,Negative
22,23,"Varð að tékka á þessari mynd  maður á nú afmæli þann . ; Síðan náttúrulega, Michael Jordan: , David Beckham:   talan er alls staðar... : Já, en með Joel Schumacher bjóst maður nú alveg við nokkuð dökkri mynd  en þetta er áhugaverð saga.

Uppfært: Whoa! etta er frekar spooky  g var að fatta að þetta er gagnrýni  hérna á síðunni! Tilviljun? Kannski, kannski ekki...",6,Positive
23,24,"etta er ein af bestu Will Ferrell myndunum  algjör klassík, hægt að horfa á hana aftur og aftur. Steve Carell fer líka alveg á kostum sem vangefni veðurfræðingurinn.",8,Positive
24,25,"...eða Rogue Assassin eins og þeir vilja kalla þetta á slandi. Fínasta action mynd  byssur, kungfu, ninjas og sprengingar. Jason Statham er alltaf badass. Síðan bara sleppa því að taka eftir hvað það er kjánalegt þegar Jet Li talar ensku ;",6,Positive
25,26,gæt fjölskylduvæn mynd. Nokkuð fyndin... Voða týpísk mynd með happy ending og allt það.,6,Positive
26,27,"gæt action mynd. Flottir bílar, byssur, sprengingar og gellur  formúla sem virkar yfirleitt á mann. Frekar mindless  týpísk mynd sem maður lendir á af því að það er verið að sýna hana á bíórásinni þegar maður er að channel surfa ; En þeir hafa greinilega hent alveg slatta af peningum í tölvugrafíkseffecta  sumar senur voru greinilega að miklu leyti tölvugerðar. Sérstaklega í lokinn, þegar þetta var reyndar komið út í svolítið rugl...",5,Negative
27,28,Maður bjóst nú alveg við súrri mynd... en það getur líka verið gaman að sjá þannig myndir : Nokkuð fyndin. Ekkert pure brilliance  en fínasta afþreying.,6,Positive
28,29,etta er náttúrulega klassísk mynd  mögnuð saga... En hún er í lengri kantinum ; yfir  tímar.,8,Positive
29,30,Spooky mynd. Hún er byggð á japanskri bók  bíómynd og það er svolítið sérstök stemmning eins og er oft í þannig myndum. Endirinn er frekar intense  upplagt ef maður fílar smá adrenalín kick ; Litla stelpan Ariel Gade var að standa sig mjög vel. Jennifer Connelly er náttúrulega líka mjög góð eins og ávalt.,6,Positive
30,31,"Virkilega töff mynd  Denzel er alveg hardcore gangsta. Ridley Scott alveg að standa sig. Mjög góð action atriði. Myndin leit mjög vel út  greinilega mikið lagt í að láta þetta líta út fyrir að gerast . Eða eitthvað... allavega, mjög vel gerð mynd í alla staði. Frasi myndarinnar: My man... ;",8,Positive
31,32,"Virkilega góð mynd. Gott dæmi um mynd með fullt af góðum leikurum sem gengur upp. Eins og ég sagði þegar ég sá hana fyrst þá er þetta hörku handrit  hellingur af twist  turns, allir að svíkja alla  en samt ekki of flókið þannig að þetta var komið út í rugl. Martin Scorsese fékk loksins skarinn, átti það sannarlega skilið.",9,Positive
32,33,Nokkuð góð mynd. Skemmtileg pæling að mannkynið geti allt í einu ekki fjölgað sér... Líka skemmtilegt að sjá eitthvað annað land en USA sem á að bjarga heiminum ; Allar borgir í heiminum eru í rústi  Only Britain soldiers on. Síðan var þetta meiri stríðsmynd en ég bjóst við  allavega kaflar sem mynntu svolítið á Saving Private Ryan eða Black Hawk Down.,7,Positive
33,34,"Ekkert meistaraverk... en ég meina, Jessica Alba ;",5,Negative
34,35,"Fínasta action mynd. Maður á náttúrulega að fara á svona myndir með það í huga að láta skemmta sér  ekkert að hafa of miklar áhyggjur af snilldar söguþræði eða stórleik. Rússneskar gellur þurfa heldur ekkert að leika frábærlega ; Nóg af sprengingum, byssubardögum, sverðbardögum... og allt vel að staðið í þeirri deild. Síðan voru þeir ekkert að spara gerviblóðið  nettur splatter í gangi ; Bara mjög töff mynd  líka ágætlega fyndin á köflum.",7,Positive
35,36,"Voða klassískt Futurama dót  eiginlega bara eins og mjög, mjög langur þáttur. Ekkert brillíant eða stanslaust fyndið, en alveg hægt að hafa gaman að þessu...",5,Negative
36,37,Mjög dökk og drungaleg mynd  eiginlega svolítið spes. En nokkuð vel leikin.,6,Positive
37,38,Kúl mynd. Hörku spenna. Ekta sumarspennumynd  hefði örugglega verið gaman að sjá þessa í bíó.,7,Positive
38,39,Bull og vitleysa  en maður bjóst alveg við því : Alveg hægt að hlæja að þessu. Líka áhugaverðar pælingar  hvaða þjóðhópar eru að fjölga sér mest? að er ekkert endilega survival of the fittest sem gildir lengur...,5,Negative
39,40,Feel good mynd  Will Ferrell sem álfur  Sprenghlægileg jólamynd. Held ég bara ein besta jólamynd sem ég hef séð.,8,Positive
40,41,Simon Pegg klikkar ekki. Mjög fyndin mynd  snilldar karakterar. David Schwimmer stendur sig bara nokkuð vel sem leikstjóri. Að mörgu leyti klassísk hetjumynd svona from zero to hero.,7,Positive
41,42,"Hmm... ok, ég hef líklega séð hana áður  á Bíórásinni eða eitthvað. Eftir fyrstu mínúturnar fannst mér ég kannast við of mikið  það getur ekki verið að ég hafi séð svona mikið í trailernum... ; að er einn kostur við að vera með svona síðu þar sem maður skráir niður þær kvikmyndir sem maður horfir á  það eru minni líkur að ég horfi óvart á bíómynd sem ég hef séð áður ; En þessi mynd er mjög vel leikstýrð, vel gerð og vel leikin. En svolítið þung á köflum  dramatísk, hæg, ekki endilega mikið tal... Myndin er líka mjög raunveruleg  ekkert of mikið af hollywood effects...",6,Positive
42,43,Góð jólamynd : John McClane er alltaf badass. Minnir svolítið á Jack Bauer  útsjónarsamur og þolir nánast endalausan sársauka ;,7,Positive
43,44,Líka góð jólamynd ; Af hverju þarf John McClane alltaf að vera á vitlausum stað á vitlausum tíma? En það er fínt  þá er allavega einhver til að redda hlutunum...,6,Positive
44,45,"Die Hard maraþonið heldur áfram : Ekta action mynd með kómísku ívafi eins og allar Die Hard myndirnar. Bruce Willis og Samuel L. Jackson eru gott teymi. Mér fannst reyndar í minningunni þessi mynd vera meiri action  en það er kannski af því að núna er maður vanur meiri hraða, fleiri byssum, stærri sprengingum, o.s.frv...",6,Positive
45,46,"Klassískt bull og vitleysa a la Jack Black : Frekar fyndið hvernig hann og flestir aðrir talaði ensku með spænskum hreim og spænskuslettum. Kom út eins og eitthvað bulltungumál  svona hybrid enskspænska. En, s.s. funny stuff :",6,Positive
46,47,"g trúi því varla að maður hafi horft á þetta til enda... en svona er þetta, maður er bara að tjilla með fjölskyldunni og þetta er það sem er verið að glápa á. Ein væmnasta mynd sem ég hef séð. En það er svosem ekkert hræðilegt að glápa á Cameron Diaz ; Síðan voru líka nokkur moment sem voru ágætlega fyndin.",4,Negative
47,48,"Flott mynd. Mjög töff að sjá New York alveg tóma  svona Palli var einn í heiminum dæmi... Vel leikin, vel leikstýrð og áhugaverð saga  bara mjög góð í alla staði. Fékk mann líka alveg til að bregða nokkrum sinnum ;",8,Positive
48,49,Mjög spes mynd... en skemmtileg. Ein af þessum költ myndum sem slær óvart í gegn. Alveg magnað hvað aðal persónurnar eru vandræðalegar og lúðalegar... en það er bara fyndið :,6,Positive
49,50,"Ekta indie mynd. Kostaði bara ,  en samt með nokkra alveg vel þekkta leikara  greinilegt að fólk hefur tekið þátt í þessu til að sýna listrænu hæfileika sína ; Enda fékk mamman Patricia Clarkson skarstilnefningu. Svona létt drama  svarti sauðurinn fluttur í stórborgina og er að reyna redda sér en ætlar að bjóða allri fjölskyldunni í thanksgiving mat... Alltaf gaman af New York myndum  nokkur skemmtileg NY skot í myndinni.",6,Positive
50,51,"Léttmeti... eða svona, frekar formúlukennt  bjóst alveg við því... Ungt og sexy fólk að leika sér í útlöndum og hvað ætli gerist  jú, einhverjir vondir menn koma og vilja meiða þau  daDARA : En þetta er frekar creepy plot  fær mann ekkert geðveikt til að langa fara til BrasilíuSuðurAmeríku ; Gaman að sjá Desmond Askew úr Go aftur. SPOILER ALERT ok, kannski ekki neinn geðveikur spoiler, en ef þú vilt ekki vita neitt um myndina þá geturu bara hætt að lesa núna að sem var eiginlega svona hryllilegast við þessa hryllingsmynd var eltingaleikurinn í vatnshellinum eða hvað sem maður getur kallað þetta  frekar frumlegt, hef ekki séð svona áður. Maður fékk alveg netta innilokunartilfinningu.",5,Negative
51,52,"Ekta skarsmynd  vann reyndar ekki neitt þrátt fyrir  tilnefningar. En mjög vel gerð mynd. Samt svona í hægari kantinum  ádeila á kommúnistaofsóknir, drama...",6,Positive
52,53,hugaverð mynd  ég vissi í rauninni voða lítið um morðið á Robert F. Kennedy  gaman að fræðast meira um þetta. Margar skemmtilegar sögur í gangi. Fullt af frægum leikurum og það gengur alveg upp  fer ekki í rugl eins og gerist stundum  margir að standa sig mjög vel. Síðan var líka skemmtilegt hvernig það voru notaðar gamlar fréttaklippur frá þessum tíma  náðu að blanda þessu eðlilega saman þannig það var eins og þetta hafi allt verið tekið upp á sama tíma.,7,Positive
53,54,"Jahá... mögnuð mynd. Maður tekur þetta náttúrulega með smá salti en hann er nú ekki beint að ljúga  þetta er frekar fkd þarna í USA. etta er greinilega ekki kerfi sem er að virka fyrir alla  vonandi fara þeir að breyta þessu fljótlega. að er náttúrulega fáránlegt að börn deyji af því að spítalinn sem er nálægastur er ekki samþykktur af tryggingunum. En já, áhugaverð mynd  fróðlegt að læra meira um þetta HMO kerfi.",6,Positive
54,55,"Mjög töff mynd. Skemmtilegur myndastíll  ef þú fílar ekki þegar myndavélin er á hreyfingu þá er þetta alls ekki mynd fyrir þig  myndin er s.s. öll frá sjónarhorni fólksins sem heldur á myndavélinni. Mjög góð actionskrímsla mynd  góð keyrsla, maður lifði sig alveg inn í þetta nánast eins og maður væri gaurinn sem hélt á myndavélinni. að hjálpaði líka að gera myndina raunverulegri að aðalleikararnir eru ekki mjög þekktir.

Uppfært: g var reyndar að fatta að þótt þessi myndastíll sé skemmtileg tilbreyting þá er þetta ekki alveg ný uppfinning hjá þeim  Blair Witch Project notaði náttúrulega sömu tækni. Nú hafa báðar þessar myndir verið kallaðar ódýrar í framleiðslu  það er kannski bara gott trick til að halda niður kostnaði  láta leikarana bara halda á myndavélinni ;",8,Positive
55,56,Wes Anderson býr alltaf til myndir með mjög sérstökum persónum... og hann er mikið fyrir súrrealísk atriði og samtöl  sem gerir myndina sprenghlægileg á köflum. Vel leikstýrð og umgjörðin costume  set design var líka mjög flott. Svolítið sérstakt að fara á mynd með ekkert hlé  en skemmtileg tilbreyting. Síðan var stuttmyndin Hotel Chevalier sýnd á undan  hún er reyndar með sér IMDb færslu þannig að ég gæti í rauninni verið með sér færslu hérna um hana en ég held ég hafi bara fulllength myndir hérna. að var alla vega sama stemmning í henni  quirky og fyndin.,8,Positive
56,57,"Já, listaverk verða yfirleitt vinsælli eftir að listamaðurinn er dáinn... Crewið hérna var að horfa á þessa mynd þannig að maður tékkaði á þessu. Fín mynd  vel gerð og allt það, en svolítið slow á köflum.",6,Positive
57,58,"Svona til að hita upp fyrir Rambo  ákvað ég að tékka á fyrstu myndinni  ég held að ég hafi ekki séð hana áður... Töff mynd  John Rambo er badass, lítið annað sem þarf að segja.",7,Positive
58,59,"Tim Burton og Johnny Depp  getur ekki klikkað... g hef nú ekki séð margar söngvamyndir  en þetta var alveg að virka, var ekkert kjánalegtskrítið þótt það var verið að syngja mest allan tíman. Mjög flott mynd  Tim Burton er mjög visual... Sacha Baron Cohen var alveg að gera góða hluti  langfyndnasti karakterinn.",7,Positive
59,60,Svolítið skrítinsúr scifi mynd... en nokkuð spennandi  líka smá áhugaverðar pælingar. Brad Pitt er langbestur þegar hann er að leika sækó persónur eins og t.d. Tyler Durden.,6,Positive
60,61,"ss! etta var rosalegt... alveg mögnuð mynd.  RDS af blóði, byssum og sprengingum.  skemmtun. Svona á sko að gera action myndir  vopn með alvöru krafti og líkamspartar fljúgandi út um allt. Geðveikur actionroller coaster í lokinn  maður var alveg gapandi hvað þetta var mikil snilld. John Rambo still got it :",9,Positive
61,62,Jahá... erfitt að segja  margt einkennilegt við þessa mynd... sérstakar persónur eins og í öllum Coen myndum og mörg skrítin samtöl. En Javier Bardem kom sterkt inn sem sækó morðinginn  alveg stone cold killer. að var eins og það vantaði eitt eða annað  kannski fattar maður það betur ef maður les bókina sem þetta er byggt á eða horfir á myndina aftur jafnvel með DVD commentary. En vissulega vel gerð mynd  ekta verðlaunamynd.,7,Positive
62,63,"Quirky og fyndin mynd. Eiginlega bara mjög fyndin  fullt af fyndnum atriðumsamtölum, nokkuð gott handrit. Michael Cera stendur sig alltaf vel sem vandræðalegi gaurinn og Ellen Page er bara nokkuð góð leikkona  verður áhugavert að fylgjast með henni í framtíðinni. Myndin minnti mig svolítið á Garden State  svona róleg og raunveruleg mynd með raunverulegum persónum  enginn Hollywood glansi yfir þessu. Soundtrackið var líka nokkuð gott. Fínasti indiekrútt pakki.",8,Positive
63,64,"Microsoft bauð manni á forsýningu á þessa fínu action mynd. Svolítið sérstök þar sem það var alltaf verið að spóla til baka  maður sá s.s. sama atvikið frá mörgum mismunandi sjónarhornum. Skemmtileg og vel gerð eltingaratriði... En þetta er svona mynd þar sem er alveg óþarfi að vera hugsa alltof mikið  ekkert að vera að spurja þig en afhverju...?, og hvað svo? o.s.frv.",7,Positive
64,65,Skrítin og dramatísk mynd  tónlistin var líka frekar skrítin og mjög dramatísk. En vissulega vel leikstýrðgott cinematography og vel leikin samt aðeins of mikið af svona ég er ógeðslega reiður.... Ekkert mjög heillandi saga  skilur ekkert rosalega mikið eftir sig...,6,Positive
65,66,"Týpísk action mynd með dúndrandi rokk tónlist í takt við byssubardaga og hellingur af oneliners. Síðan er þetta svolítið í stíl við James Bond Pierce Brosnan era í þeim skilningi að aðal gaurinn getur gert hinu ótrúlegustu hluti öll venjuleg lögmál eru alveg afskrifuð.  köflum var þetta hin argasta grínmynd  sérstaklega ein senan í lokinn, alveg óborganlegt : En fín action mynd ef maður fílar byssubardaga og ofbeldi í takt við dúndrandi tónlist.",6,Positive
66,67,"Fínasta grínmynd með helling af fyndnum mómentum. Ekkert brillíant voða týpískt handrit fyrir gamanmynd, en fínasta afþreying. Týpískt fyrir Billy Bob Thornton að leika svona hardass  hann er nokkuð góður í því...",6,Positive
67,68,"ss! etta var mjög scary mynd... Mikið suspense í gangi  maður beið oft í ofvæni eftir að eitthvað gerðist  og manni brá alveg nokkrum sinnum. Engir cheap Hollywood effects bara hrá hryllingsmyndthriller. Minnti mig að vissu leyti á The Others  og líka Stir of Echoes. Græna ljósið er að sýna þessa mynd þannig að það var ekkert hlé  sem var bara gott, ég held að hlé hefði eyðilegt svolítið spennuna sem var búið að byggja upp. Myndin heitir s.s. The Orphanage á ensku.",8,Positive
68,69,"egar maður fer á mynd um gaur sem pantar sér Real Doll og lætur eins og hún sé lifandi þá veit maður að maður er að fara á svolítið skrítnaspes mynd. En hún er mjög fyndin og vel leikin. Hún er svolítið lík Juno í þeim skilningi að hún er líka svona róleg og raunveruleg. Síðan er mikil sveitastemmning í gangi  kannski ekki ósvipað og í Fargo, allir í bænum vinir og allir tilbúnir til að hjálpast að.",7,Positive
69,70,Mjög góð svört komedía. Snilldar karakterar. Colin Farrell góður sem nettruglaður ri þótt hann sé nokkurn veginn að leika sjálfan sig. gætlega brútal á köflum. Enn önnur myndin sem maður sér sem Græna ljósið er að flytja inn  þeir eru alveg nokkuð góðir í að finna góðar kvikmyndir. Síðan er maður alveg að venjast því að hafa ekkert hlé  maður þarf bara að muna að pissa áður en maður fer í bíóið ;,7,Positive
70,71,Töff íslensk mynd  mjög fyndin. Pétur Jóhann stendur sig náttúrulega vel eins og alltaf  allt sem hann gerir er fyndið... Mjög skemmtilegir karakterar  endalaust af þekktum leikurum og öðrum íslenskum celebs í hinum ýmsu hlutverkum. Skemmtilegt hvað allir þessir íslensku krimmar þóttust vera harðir en voru í rauninni aumingjar.,7,Positive
71,72,"Nett drama í gangi  en nokkuð fyndin annað er nú ekki hægt með Steve Carell í aðalhlutverki. Fín mynd til að horfa á með fjölskyldunni. Minnti mig svolítið á Juno og The Last Kiss  svona myndir um lífið... og hvað það er í rauninni messed up ...or whatever, ég er bara að bulla eitthvað...",6,Positive
72,73,Klassísk hryllingsmynd. Mjög psycho stemmning. Virkilega vel leikstýrð. Jack Nicholson að gera góða hluti  hann stendur sig alltaf vel í svona sækó hlutverkum. Tónlistin var alveg bókstaflega geðveik og gerði alveg helling fyrir stemmninguna...,7,Positive
73,74,"Mjög fyndin mynd. Klassísk Judd Apatow mynd með slatta af leikurunum sem maður hefur séð áður í myndunum hans... Kannski ekkert fáránlega frumleg, en þú þarft ekkert endilega að vera frumlegur til að vera fyndinn ; Alveg hellingur af sprenghlægilegum atriðum.",7,Positive
74,75,"Kúl og brútal löggu action mynd. Miðað við þessa mynd, Training Day, Harsh Times og sjónvarpsþættina The Shield þá mætti halda að meirihlutinn af löggum í Los Angeles hiki ekki við að beygja reglurnar þegar það hentar þeim... Kannski ekkert fáránlega frumleg  en góð skemmtun og fullt af góðum leikurum...",7,Positive
75,76,Náttúrulega klassísk mynd  fyrsta Indiana Jones myndin  mjög langt síðan ég sá hana síðast. Hún var töluvert fyndnari en ég mundi eftir henni... mætti jafnvel flokka hana sem silly action mynd. Atriðið þar sem hann skýtur sveðju gaurinn á torginu er náttúrulega priceless : Síðan voru tæknibrellurnar vissulega framúrskarandi  svona miðað við mynd frá . Fín upphitun fyrir Indiana Jones  Indiana Jones and the Kingdom of the Crystal Skull.,8,Positive
76,77,"Svona á að gera ofurhetjumynd! Iron Man og Batman Begins eru bestu ofurhetjumyndir sem ég hef séð nýlega... Gæða mynd í alla staði  kúl action atriði, vel leikstýrð, mjög flott visual séð, gott handrit, vel leikin og svona ekkert alltof ótrúleg miðað við ofurhetjumynd. Robert Downey Jr. er algjör snillingur  fáránlega pimp í byrjun... og síðan svona kúlgoofy eins og hann er oft. Gwyneth Paltrow var líka að standa sig vel í sínum karakter. g var að fíla Iron Man í tætlur  væri alveg til í að sjá nokkrar myndir í viðbót úr þessu franchise...",8,Positive
77,78,"etta var snilld. Mjög fyndin mynd  náttúrulega aðallega bull, vitleysa og stoner húmor... mörg sprenghlægileg atriði. Síðan var svona inn á milli smá ádeila á Bandaríkin, hvernig þeir fara með grunaða, fordóma, o.s.frv... Góð keyrsla í þessu  varla dauður punktur. , já, síðan var The Square Root of Three ljóðið alveg magnað :",8,Positive
78,79,"Brillíant mynd! Maður hefur verið að horfa á sketsa á netinu frá The Lonely Island gaurunum undanfarin ár þannig að ég bjóst nú við nokkuð fyndinni mynd  en þetta sló allt út, margfalt fyndnari en ég bjóst við. g man ekki eftir því að bókstaflega grenja af hlátri svona oft yfir einni mynd  maður var stundum alveg í krampakasti : Alveg magnað hvað svona random vitleysa svipað og í Family Guy getur verið fyndin  fáránlega súr sum atriðin, en samt ótrúlega fyndin. Ein besta grínmynd sem ég hef séð nýlega.",10,Positive
79,80,Fínasta ævintýramynd. Svolítið ótrúleg á köflum en það er náttúrulega bara partur af öllum góðum ævintýramyndum : Söguþráðurinn kom mér svolítið á óvart... eitthvað sem ég bjóst ekki alveg við í Indiana Jones mynd  en áhugavert plot samt sem áður. Harrison Ford stóð sig bara ágætlega  ekkert áberandi að hann er  ára í alls konar fimleikum. En tæknibrellurnar  vá! Sum atriðin voru alveg mögnuð og maður gat alls ekki séð að þetta væri teiknað í tölvu  þeir kunna þetta hjá Industrial Light  Magic.,7,Positive
80,81,"essi mynd er alveg virkilega súr  bull alveg í gegn. En nokkuð fyndin  fullt af góðum bröndurum og fyndnum atriðum. Síðan voru mörg atriði sem meikuðu engan sens  random rugl en gekk ekki alveg eins vel og í Hot Rod að vera fyndið. Já, s.s. mjög steikt mynd  fyndin, en ekki besta Adam Sandler mynd sem ég hef séð.",6,Positive
81,82,"Kúl mynd, fínasta action mynd  að vissu leyti týpísk action mynd; vondi kall, góði kall, eltingaleikur, byssur, sprengingar, o.s.frv... Síðan kom endirinn svolítið á óvart  greinilega verið að gefa til kynna að það verði einhvers konar framhald... og það gæti orðið mjög áhugavert framhald ;",7,Positive
82,83,"Að vissu leyti formúlukennd action mynd  en hver fílar ekki byssur, ofbeldi, bílaeltingaleiki, sprengingar og síðast en ekki síst Angelina Jolie? etta var alla vega alveg að virka fyrir mig  kúl stöff. Síðan er hún líka mjög fyndin á köflum  þá aðallega hversu óraunveruleg hún getur verið ; Kúl special effects  t.d. nokkur töff bíla trikk sem maður hefur ekki séð áður : Eins og með margar action myndir sem keyra áfram með byssubardögum og dúndrandi rokktónlist þá er alveg óþarfa að spá of mikið í söguþræðinum.",8,Positive
83,84,"Mjög fyndin teiknimynd  Jack Black klikkar ekki... pöndu karakterinn var alveg sniðinn að honum. Myndin leit líka mjög vel út  mörg kúl action atriði... töff closeup, freezeframe cameraturn effectaar eða hvað sem maður á að kalla svona Matrix stíl og bara vönduð mynd. Kemur alltaf skemmtilega á óvart hvað maður hefur í rauninni gaman af bíómyndum sem eru bara teiknimyndir.",7,Positive
84,85,Kúl action mynd  nóg af töff sprengingum og byssubardögum. Opnunartitilsenan e. opening credit sequence var virkilega flott  kúl typography effectar í gangi minnti mig örlítið á Pulp Caption videoið. Líka áhugavert að fræðast aðeins um tengslin milli Bandaríkjanna og SádíArabíu.,7,Positive
85,86,"Virkilega flott og fyndin action mynd. Johann Krauss sem Seth MacFarlane talaði fyrir var eiginlega besti karakterinn  alla vega fyndnasti. Leikur og söguþráður voru kannski ekki í hæsta klassa en það skemmdi ekki fyrir. Guillermo del Toro kann að gera flottar myndir og hann er mikið fyrir skringilegar verur  kemur alltaf vel út hjá honum. Tæknibrellurnar voru virkilega vel gerðar  mjög raunverulegar, maður er eiginlega ekki alveg viss hvað er tölvuteiknað og hvað er búningar og sviðshönnun.",6,Positive
86,87,"Fínasta sumar action mynd  með fullt af tæknibrellum, sprengingum og öllu því sem við má búast í Will Smith kvikmynd. Smá plottwist sem kom manni á óvart... Reyndar eitt og annað sem kom manni einkennilega fyrir sjónir, en það er óþarfi að vera velta því of mikið fyrir sér yfir svona léttmeti ; Gaman að sjá Jason Bateman í fleiri og fleiri stórum kvikmyndum  síðan er víst verið að lofa manni Arrested Development mynd, get ekki beðið.  já, eitt í viðbót:  Hancock var alveg nokkrum sinnum nefnt YouTube, vefsíðan sýnd og síðan video frá YouTube sýnd í fullscreen með alveg huge YouTube lógó í horninu. eir töluðu líka nokkrum sinnum um YouTube í Hellboy ... Google eru greinilega svolítið fyrir product placement í bíómyndum  t.d. í myndinni Crank var notað Google Earth til að sýna svona satellite skot og Google Earth lógóið var svona sæmilega áberandi.",6,Positive
87,88,"Nokkuð kúl frönsk action mynd  alveg nokkur atriði byggð á Parkour sem er frekar magnað fyrirbæri... eir fengu meira að segja David Belle, sem fann upp á Parkour, til að leika eitt aðalhlutverkið.",6,Positive
88,89,"Mögnuð mynd  virkilega flott, geðveik myndataka og action atriðin voru náttúrulega rosaleg. Allt mjög vandað  mjög flott áferð á myndinni. Svipað og í Batman Begins þá voru kvöldnætur atriðin mjög drungaleg  skapaði svolítið sérstaka stemmningu... Myndin var líka skuggalega fyndin inn á milli  þá aðallega þegar Jokerinn átti í hlut, enda viðeigandi. Heath Ledger stóð sig mjög vel  náði að gera Jokerinn bókstaflega einn geðveikasta karakter sem maður hefur séð á hvíta tjaldinu, kæmi alls ekkert á óvart að hann myndi fá skarinn. Maður hefði alveg verið til í að sjá hann áfram í fleiri Batman myndum... Verður spennandi að sjá hvort þeir haldi áfram og búi til þriðju myndina í þessari endurlífguðu Batman seríu  og miðað við að The Dark Knight er að slá hvert metið á fætur öðru þá eru frekar miklar líkur á því. Frekar löng mynd, en virtist samt ekki vera það  endalaus bardagi fram og til baka á milli góðs og ills. Gaman að sjá William Fichtner þarna í smá hlutverki...",9,Positive
89,90,"...eða Night Watch eins og það er víst búið að þýða hana yfir á engilsaxneskuna. Nokkuð kúl mynd en frekar skrítin... stundum var ekki alveg consistency og eini tilgangurinn með sumum atriðum virtist vera bara til að geta gert eitthvað kúl eða svona hluti af þeim. Dúndrandi rokk tónlist, freezeframe, slow motion og öll helstu actionmynda trikkin  en nokkuð flott. Fullt af funky special effects. Sumir karakterarnir frekar skrítnir og síðan var söguþráðurinn líka skrítinnruglingslegur á köflum.",6,Positive
