id,review,rating,sentiment
32,"Virkilega góð mynd. Gott dæmi um mynd með fullt af góðum leikurum sem gengur upp. Eins og ég sagði <a href=""http://www.officialstation.com/2006/11/12/jagshemash/"">þegar ég sá hana fyrst</a> þá er þetta hörku handrit - hellingur af twist &amp; turns, allir að svíkja alla - en samt ekki of flókið þannig að þetta var komið út í rugl. Martin Scorsese fékk loksins Óskarinn, átti það sannarlega skilið.",9,Positive
33,"Nokku&#240; g&#243;&#240; mynd. Skemmtileg p&#230;ling a&#240; mannkyni&#240; geti allt &#237; einu ekki fj&#246;lga&#240; s&#233;r... L&#237;ka skemmtilegt a&#240; sj&#225; eitthva&#240; anna&#240; land en USA sem &#225; a&#240; bjarga heiminum &#59;&#41; Allar borgir &#237; heiminum eru &#237; r&#250;sti - ""Only Britain soldiers on"". S&#237;&#240;an var &#254;etta meiri str&#237;&#240;smynd en &#233;g bj&#243;st vi&#240; - allavega kaflar sem mynntu svol&#237;ti&#240; &#225; Saving Private Ryan e&#240;a Black Hawk Down.",7,Positive
34,Ekkert meistaraverk... en &#233;g meina&#44; Jessica Alba &#59;&#41;,5,Neutral
35,"Fínasta action mynd. Maður á náttúrulega að fara á svona myndir með það í huga að láta skemmta sér - ekkert að hafa of miklar áhyggjur af snilldar söguþræði eða stórleik. Rússneskar gellur þurfa heldur ekkert að leika frábærlega ;) Nóg af sprengingum, byssubardögum, sverðbardögum... og allt vel að staðið í þeirri deild. Síðan voru þeir ekkert að spara gerviblóðið - nettur splatter í gangi ;) Bara mjög töff mynd - líka ágætlega fyndin á köflum.",7,Positive
36,"Voða klassískt Futurama dót - eiginlega bara eins og mjög, mjög langur þáttur. Ekkert brillíant eða stanslaust fyndið, en alveg hægt að hafa gaman að þessu...",5,Neutral
37,"Mj&#246;g d&#246;kk og drungaleg mynd - eiginlega svol&#237;ti&#240; ""spes"". En nokku&#240; vel leikin.",6,Neutral
38,K&#250;l mynd. H&#246;rku spenna. Ekta sumar-spennumynd - hef&#240;i &#246;rugglega veri&#240; gaman a&#240; sj&#225; &#254;essa &#237; b&#237;&#243;.,7,Positive
39,"Bull og vitleysa - en maður bjóst alveg við því :) Alveg hægt að hlæja að þessu. Líka áhugaverðar pælingar - hvaða ""þjóðhópar"" eru að fjölga sér mest? Það er ekkert endilega ""survival of the fittest"" sem gildir lengur...",5,Neutral
40,Feel good mynd + Will Ferrell sem álfur = Sprenghlægileg jólamynd. Held ég bara ein besta jólamynd sem ég hef séð.,8,Positive
41,"Simon Pegg klikkar ekki. Mjög fyndin mynd - snilldar karakterar. David Schwimmer stendur sig bara nokkuð vel sem leikstjóri. Að mörgu leyti klassísk hetjumynd (svona ""from zero to hero"").",7,Positive
42,"Hmm... ok, ég hef líklega séð hana áður - á Bíórásinni eða eitthvað. Eftir fyrstu mínúturnar fannst mér ég kannast við of mikið - ""það getur ekki verið að ég hafi séð svona mikið í trailer-num..."" ;) Það er einn kostur við að vera með svona síðu þar sem maður skráir niður þær kvikmyndir sem maður horfir á - það eru minni líkur að ég horfi ""óvart"" á bíómynd sem ég hef séð áður ;) En þessi mynd er mjög vel leikstýrð, vel gerð og vel leikin. En svolítið ""þung"" á köflum - dramatísk, hæg, ekki endilega mikið tal... Myndin er líka mjög ""raunveruleg"" - ekkert of mikið af ""hollywood effects""...",6,Neutral
43,Góð jólamynd :) John McClane er alltaf badass. Minnir svolítið á Jack Bauer - útsjónarsamur og þolir (nánast) endalausan sársauka ;),7,Positive
44,L&#237;ka g&#243;&#240; j&#243;lamynd &#59;&#41; Af hverju &#254;arf John McClane alltaf a&#240; vera &#225; vitlausum sta&#240; &#225; vitlausum t&#237;ma&#63; En &#254;a&#240; er f&#237;nt - &#254;&#225; er allavega einhver til a&#240; redda hlutunum...,6,Neutral
45,"Die Hard mara&#254;oni&#240; heldur &#225;fram &#58;&#41; Ekta action mynd me&#240; k&#243;m&#237;sku &#237;vafi &#40;eins og allar Die Hard myndirnar&#41;. Bruce Willis og Samuel L. Jackson eru gott teymi. M&#233;r fannst reyndar &#237; minningunni &#254;essi mynd vera ""meiri action"" - en &#254;a&#240; er kannski af &#254;v&#237; a&#240; n&#250;na er ma&#240;ur vanur meiri hra&#240;a&#44; fleiri byssum&#44; st&#230;rri sprengingum&#44; o.s.frv...",6,Neutral
46,Klass&#237;skt bull og vitleysa a la Jack Black &#58;&#41; Frekar fyndi&#240; hvernig hann &#40;og flestir a&#240;rir&#41; tala&#240;i ensku me&#240; sp&#230;nskum hreim og sp&#230;nsku-slettum. Kom &#250;t eins og eitthva&#240; bulltungum&#225;l - svona hybrid ensk-sp&#230;nska. En&#44; s.s. funny stuff &#58;&#41;,6,Neutral
47,&#201;g tr&#250;i &#254;v&#237; varla a&#240; ma&#240;ur hafi horft &#225; &#254;etta til enda... en svona er &#254;etta&#44; ma&#240;ur er bara a&#240; tjilla me&#240; fj&#246;lskyldunni og &#254;etta er &#254;a&#240; sem er veri&#240; a&#240; gl&#225;pa &#225;. Ein v&#230;mnasta mynd sem &#233;g hef s&#233;&#240;. En &#254;a&#240; er svosem ekkert hr&#230;&#240;ilegt a&#240; gl&#225;pa &#225; Cameron Diaz &#59;&#41; S&#237;&#240;an voru l&#237;ka nokkur moment sem voru &#225;g&#230;tlega fyndin.,4,Negative
48,Flott mynd. Mj&#246;g t&#246;ff a&#240; sj&#225; New York alveg t&#243;ma - svona Palli var einn &#237; heiminum d&#230;mi... Vel leikin&#44; vel leikst&#253;r&#240; og &#225;hugaver&#240; saga - bara mj&#246;g g&#243;&#240; &#237; alla sta&#240;i. F&#233;kk mann l&#237;ka alveg til a&#240; breg&#240;a nokkrum sinnum &#59;&#41;,8,Positive
49,Mj&#246;g spes mynd... en skemmtileg. Ein af &#254;essum k&#246;lt myndum sem sl&#230;r &#40;&#243;vart&#41; &#237; gegn. Alveg magna&#240; hva&#240; a&#240;al pers&#243;nurnar eru vandr&#230;&#240;alegar og l&#250;&#240;alegar... en &#254;a&#240; er bara fyndi&#240; &#58;&#41;,6,Neutral
50,Ekta indie mynd. Kosta&#240;i bara &#36;300&#44;000 - en samt me&#240; nokkra alveg vel &#254;ekkta leikara - greinilegt a&#240; f&#243;lk hefur teki&#240; &#254;&#225;tt &#237; &#254;essu til a&#240; s&#253;na listr&#230;nu h&#230;fileika s&#237;na &#59;&#41; Enda f&#233;kk mamman &#40;Patricia Clarkson&#41; &#211;skarstilnefningu. Svona l&#233;tt drama - svarti sau&#240;urinn fluttur &#237; st&#243;rborgina og er a&#240; reyna redda s&#233;r en &#230;tlar a&#240; bj&#243;&#240;a allri fj&#246;lskyldunni &#237; thanksgiving mat... Alltaf gaman af New York myndum - nokkur skemmtileg NY skot &#237; myndinni.,6,Neutral
51,"Léttmeti... eða svona, frekar formúlukennt - bjóst alveg við því... Ungt og sexy fólk að leika sér í útlöndum og hvað ætli gerist - jú, einhverjir vondir menn koma og vilja meiða þau - da-DA-RA :) En þetta er frekar creepy plot - fær mann ekkert geðveikt til að langa fara til Brasilíu/Suður-Ameríku ;) Gaman að sjá Desmond Askew úr Go aftur. <strong>***SPOILER ALERT***</strong> (ok, kannski ekki neinn geðveikur spoiler, en ef þú vilt ekki vita neitt um myndina þá geturu bara hætt að lesa núna) Það sem var eiginlega svona ""hryllilegast"" við þessa hryllingsmynd var eltingaleikurinn í vatnshellinum (eða hvað sem maður getur kallað þetta) - frekar frumlegt, hef ekki séð svona áður. Maður fékk alveg netta innilokunartilfinningu.",5,Neutral
52,Ekta &#211;skars-mynd - vann reyndar ekki neitt &#254;r&#225;tt fyrir 6 tilnefningar. En mj&#246;g vel ger&#240; mynd. Samt svona &#237; h&#230;gari kantinum - &#225;deila &#225; komm&#250;nistaofs&#243;knir&#44; drama...,6,Neutral
53,Áhugaverð mynd - ég vissi í rauninni voða lítið um morðið á Robert F. Kennedy - gaman að fræðast meira um þetta. Margar skemmtilegar sögur í gangi. Fullt af frægum leikurum (og það gengur alveg upp - fer ekki í rugl eins og gerist stundum) - margir að standa sig mjög vel. Síðan var líka skemmtilegt hvernig það voru notaðar gamlar fréttaklippur frá þessum tíma - náðu að blanda þessu eðlilega saman þannig það var eins og þetta hafi allt verið tekið upp á sama tíma.,7,Positive
54,"Jahá... mögnuð mynd. Maður tekur þetta náttúrulega <a href=""http://en.wikipedia.org/wiki/Grain_of_salt"">með smá salti</a> en hann er nú ekki beint að ljúga - þetta er frekar fkd þarna í USA. Þetta er greinilega ekki kerfi sem er að virka fyrir alla - vonandi fara þeir að breyta þessu fljótlega. Það er náttúrulega fáránlegt að börn deyji af því að spítalinn sem er nálægastur er ekki samþykktur af tryggingunum. En já, áhugaverð mynd - fróðlegt að læra meira um þetta HMO kerfi.",6,Neutral
55,"Mjög töff mynd. Skemmtilegur myndastíll - ef þú fílar ekki þegar myndavélin er á hreyfingu þá er þetta alls ekki mynd fyrir þig - myndin er s.s. öll frá sjónarhorni fólksins sem heldur á myndavélinni. Mjög góð action/skrímsla mynd - góð keyrsla, maður lifði sig alveg inn í þetta (nánast eins og maður væri gaurinn sem hélt á myndavélinni). Það hjálpaði líka að gera myndina ""raunverulegri"" að aðalleikararnir eru ekki mjög þekktir.
<br /><br />
<strong>Uppfært:</strong> Ég var reyndar að fatta að þótt þessi myndastíll sé skemmtileg tilbreyting þá er þetta ekki alveg ný uppfinning hjá þeim - <strong>Blair Witch Project</strong> notaði náttúrulega sömu tækni. Nú hafa báðar þessar myndir verið kallaðar ódýrar í framleiðslu - það er kannski bara gott trick til að halda niður kostnaði - láta leikarana bara halda á myndavélinni ;)",8,Positive
56,Wes Anderson býr alltaf til myndir með mjög sérstökum persónum... og hann er mikið fyrir súrrealísk atriði og samtöl - sem gerir myndina sprenghlægileg á köflum. Vel leikstýrð og umgjörðin (costume &amp; set design) var líka mjög flott. Svolítið sérstakt að fara á mynd með ekkert hlé - en skemmtileg tilbreyting. Síðan var stuttmyndin <strong>Hotel Chevalier</strong> sýnd á undan - hún er reyndar með sér IMDb færslu þannig að ég gæti í rauninni verið með sér færslu hérna um hana en ég held ég hafi bara full-length myndir hérna. Það var alla vega sama stemmning í henni - quirky og fyndin.,8,Positive
57,J&#225;&#44; listaverk ver&#240;a yfirleitt vins&#230;lli eftir a&#240; listama&#240;urinn er d&#225;inn... Crew-i&#240; h&#233;rna var a&#240; horfa &#225; &#254;essa mynd &#254;annig a&#240; ma&#240;ur t&#233;kka&#240;i &#225; &#254;essu. F&#237;n mynd - vel ger&#240; og allt &#254;a&#240;&#44; en svol&#237;ti&#240; slow &#225; k&#246;flum.,6,Neutral
58,Svona til a&#240; hita upp fyrir Rambo 4 &#225;kva&#240; &#233;g a&#240; t&#233;kka &#225; fyrstu myndinni - &#233;g held a&#240; &#233;g hafi ekki s&#233;&#240; hana &#225;&#240;ur... T&#246;ff mynd - John Rambo er badass&#44; l&#237;ti&#240; anna&#240; sem &#254;arf a&#240; segja.,7,Positive
59,Tim Burton og Johnny Depp - getur ekki klikka&#240;... &#201;g hef n&#250; ekki s&#233;&#240; margar s&#246;ngvamyndir - en &#254;etta var alveg a&#240; virka&#44; var ekkert kj&#225;nalegt/skr&#237;ti&#240; &#254;&#243;tt &#254;a&#240; var veri&#240; a&#240; syngja mest allan t&#237;man. Mj&#246;g flott mynd - Tim Burton er mj&#246;g visual... Sacha Baron Cohen var alveg a&#240; gera g&#243;&#240;a hluti - langfyndnasti karakterinn.,7,Positive
60,Svol&#237;ti&#240; skr&#237;tin/s&#250;r sci-fi mynd... en nokku&#240; spennandi - l&#237;ka sm&#225; &#225;hugaver&#240;ar p&#230;lingar. Brad Pitt er langbestur &#254;egar hann er a&#240; leika s&#230;k&#243; pers&#243;nur &#40;eins og t.d. Tyler Durden&#41;.,6,Neutral
61,"Öss! Þetta var rosalegt... alveg mögnuð mynd. 250% <acronym title=""Ráðlagður dagsskammtur"">RDS</acronym> af blóði, byssum og sprengingum. 100% skemmtun. Svona á sko að gera action myndir - vopn með alvöru krafti og líkamspartar fljúgandi út um allt. Geðveikur action-roller coaster í lokinn - maður var alveg gapandi hvað þetta var mikil snilld. John Rambo still got it :)",9,Positive
62,"Jah&#225;... erfitt a&#240; segja - margt einkennilegt vi&#240; &#254;essa mynd... s&#233;rstakar pers&#243;nur &#40;eins og &#237; &#246;llum Coen myndum&#41; og m&#246;rg skr&#237;tin samt&#246;l. En Javier Bardem kom sterkt inn sem s&#230;k&#243; mor&#240;inginn - alveg ""stone cold killer"". &#222;a&#240; var eins og &#254;a&#240; vanta&#240;i eitt e&#240;a anna&#240; - kannski fattar ma&#240;ur &#254;a&#240; betur ef ma&#240;ur les b&#243;kina sem &#254;etta er byggt &#225; e&#240;a horfir &#225; myndina aftur &#40;jafnvel me&#240; DVD commentary&#41;. En vissulega vel ger&#240; mynd - ekta ver&#240;launamynd.",7,Positive
63,"Quirky og fyndin mynd. Eiginlega bara mj&#246;g fyndin - fullt af fyndnum atri&#240;um/samt&#246;lum&#44; nokku&#240; gott handrit. Michael Cera stendur sig alltaf vel sem vandr&#230;&#240;alegi gaurinn og Ellen Page er bara nokku&#240; g&#243;&#240; leikkona - ver&#240;ur &#225;hugavert a&#240; fylgjast me&#240; henni &#237; framt&#237;&#240;inni. Myndin minnti mig svol&#237;ti&#240; &#225; Garden State - svona r&#243;leg og ""raunveruleg"" mynd me&#240; raunverulegum pers&#243;num - enginn Hollywood glansi yfir &#254;essu. <a href=""http&#58;//twitter.com/officialstation/statuses/611461302"">Soundtracki&#240; var l&#237;ka nokku&#240; gott</a>. F&#237;nasti indie/kr&#250;tt pakki.",8,Positive
64,"Microsoft bau&#240; manni &#225; fors&#253;ningu &#225; &#254;essa f&#237;nu action mynd. Svol&#237;ti&#240; s&#233;rst&#246;k &#254;ar sem &#254;a&#240; var alltaf veri&#240; a&#240; sp&#243;la til baka - ma&#240;ur s&#225; s.s. sama atviki&#240; fr&#225; m&#246;rgum mismunandi sj&#243;narhornum. Skemmtileg og vel ger&#240; eltingaratri&#240;i... En &#254;etta er svona mynd &#254;ar sem er alveg &#243;&#254;arfi a&#240; vera hugsa alltof miki&#240; - ekkert a&#240; vera a&#240; spurja &#254;ig ""en afhverju...&#63;""&#44; ""og hva&#240; svo&#63;"" o.s.frv.",7,Positive
65,"Skr&#237;tin og dramat&#237;sk mynd - t&#243;nlistin var l&#237;ka frekar skr&#237;tin og mj&#246;g dramat&#237;sk. En vissulega vel leikst&#253;r&#240;/gott cinematography og vel leikin &#40;samt a&#240;eins of miki&#240; af svona ""&#233;g er &#243;ge&#240;slega rei&#240;ur...""&#41;. Ekkert mj&#246;g heillandi saga - skilur ekkert rosalega miki&#240; eftir sig...",6,Neutral
66,T&#253;p&#237;sk action mynd me&#240; d&#250;ndrandi rokk t&#243;nlist &#237; takt vi&#240; byssubardaga og hellingur af one-liners. S&#237;&#240;an er &#254;etta svol&#237;ti&#240; &#237; st&#237;l vi&#240; James Bond &#40;Pierce Brosnan era&#41; &#237; &#254;eim skilningi a&#240; a&#240;al gaurinn getur gert hinu &#243;tr&#250;legustu hluti &#40;&#246;ll venjuleg l&#246;gm&#225;l eru alveg afskrifu&#240;&#41;. &#193; k&#246;flum var &#254;etta hin argasta gr&#237;nmynd - s&#233;rstaklega ein senan &#237; lokinn&#44; alveg &#243;borganlegt &#58;&#41; En f&#237;n action mynd ef ma&#240;ur f&#237;lar byssubardaga og ofbeldi &#237; takt vi&#240; d&#250;ndrandi t&#243;nlist.,6,Neutral
67,"Fínasta grínmynd með helling af fyndnum mómentum. Ekkert brillíant (voða týpískt handrit fyrir gamanmynd), en fínasta afþreying. Týpískt fyrir Billy Bob Thornton að leika svona hard-ass - hann er nokkuð góður í því...",6,Neutral
68,"Öss! Þetta var mjög scary mynd... Mikið ""suspense"" í gangi - maður beið oft í ofvæni eftir að eitthvað gerðist - og manni brá alveg nokkrum sinnum. Engir ""cheap Hollywood effects"" bara hrá hryllingsmynd/thriller. Minnti mig að vissu leyti á <a href=""http://www.imdb.com/title/tt0230600/"">The Others</a> - og líka <a href=""http://www.imdb.com/title/tt0164181/"">Stir of Echoes</a>. Græna ljósið er að sýna þessa mynd þannig að það var ekkert hlé - sem var bara gott, ég held að hlé hefði eyðilegt svolítið spennuna sem var búið að byggja upp. Myndin heitir s.s. The Orphanage á ensku.",8,Positive
69,"Þegar maður fer á mynd um gaur sem pantar sér Real Doll og lætur eins og hún sé lifandi þá veit maður að maður er að fara á svolítið skrítna/spes mynd. En hún er mjög fyndin og vel leikin. Hún er svolítið lík Juno í þeim skilningi að hún er líka svona róleg og ""raunveruleg"". Síðan er mikil sveitastemmning í gangi - kannski ekki ósvipað og í <a href=""http://www.imdb.com/title/tt0116282/"">Fargo</a>, allir í bænum vinir og allir tilbúnir til að hjálpast að.",7,Positive
70,Mjög góð svört komedía. Snilldar karakterar. Colin Farrell góður sem nett-ruglaður Íri (þótt hann sé nokkurn veginn að leika sjálfan sig). Ágætlega brútal á köflum. Enn önnur myndin sem maður sér sem Græna ljósið er að flytja inn - þeir eru alveg nokkuð góðir í að finna góðar kvikmyndir. Síðan er maður alveg að venjast því að hafa ekkert hlé - maður þarf bara að muna að pissa áður en maður fer í bíóið ;),7,Positive
71,T&#246;ff &#237;slensk mynd - mj&#246;g fyndin. P&#233;tur J&#243;hann stendur sig n&#225;tt&#250;rulega vel eins og alltaf - allt sem hann gerir er fyndi&#240;... Mj&#246;g skemmtilegir karakterar - endalaust af &#254;ekktum leikurum &#40;og &#246;&#240;rum &#237;slenskum celebs&#41; &#237; hinum &#253;msu hlutverkum. Skemmtilegt hva&#240; allir &#254;essir &#237;slensku krimmar &#254;&#243;ttust vera har&#240;ir en voru &#237; rauninni aumingjar.,7,Positive
72,"Nett drama í gangi - en nokkuð fyndin (annað er nú ekki hægt með Steve Carell í aðalhlutverki). Fín mynd til að horfa á með fjölskyldunni. Minnti mig svolítið á Juno og The Last Kiss - svona myndir um lífið... og hvað það er í rauninni messed up ...or whatever, ég er bara að bulla eitthvað...",6,Neutral
73,Klass&#237;sk hryllingsmynd. Mj&#246;g psycho stemmning. Virkilega vel leikst&#253;r&#240;. Jack Nicholson a&#240; gera g&#243;&#240;a hluti - hann stendur sig alltaf vel &#237; svona s&#230;k&#243; hlutverkum. T&#243;nlistin var alveg &#40;b&#243;kstaflega&#41; ge&#240;veik og ger&#240;i alveg helling fyrir stemmninguna...,7,Positive
74,"Mjög fyndin mynd. Klassísk Judd Apatow mynd með slatta af leikurunum sem maður hefur séð áður í myndunum hans... Kannski ekkert fáránlega frumleg, en þú þarft ekkert endilega að vera frumlegur til að vera fyndinn ;) Alveg hellingur af sprenghlægilegum atriðum.",7,Positive
75,K&#250;l og br&#250;tal l&#246;ggu action mynd. Mi&#240;a&#240; vi&#240; &#254;essa mynd&#44; Training Day&#44; Harsh Times og sj&#243;nvarps&#254;&#230;ttina The Shield &#254;&#225; m&#230;tti halda a&#240; meirihlutinn af l&#246;ggum &#237; Los Angeles hiki ekki vi&#240; a&#240; beygja reglurnar &#254;egar &#254;a&#240; hentar &#254;eim... Kannski ekkert f&#225;r&#225;nlega frumleg - en g&#243;&#240; skemmtun og fullt af g&#243;&#240;um leikurum...,7,Positive
76,"Náttúrulega klassísk mynd – fyrsta Indiana Jones myndin – mjög langt síðan ég sá hana síðast. Hún var töluvert fyndnari en ég mundi eftir henni... mætti jafnvel flokka hana sem silly action mynd. Atriðið þar sem hann <a href=""http://www.youtube.com/watch?v=GkLXdLgOybE"">skýtur sveðju gaurinn á torginu</a> er náttúrulega priceless :) Síðan voru tæknibrellurnar vissulega framúrskarandi – svona miðað við mynd frá 1981. Fín upphitun fyrir Indiana Jones 4 (Indiana Jones and the Kingdom of the Crystal Skull).",8,Positive
